"","x"
"93","sp|P16452|EPB42_HUMAN"
"94","sp|P21926|CD9_HUMAN"
"95","sp|P20592|MX2_HUMAN"
"96","sp|Q9NZM1|MYOF_HUMAN"
"97","sp|P06681|CO2_HUMAN"
"98","sp|P46939|UTRO_HUMAN"
"99","sp|O94919|ENDD1_HUMAN"
"100","sp|Q86UX7|URP2_HUMAN"
"101","sp|Q13464|ROCK1_HUMAN"
"102","sp|Q96PY5|FMNL2_HUMAN"
"103","sp|ANT3_HUMAN|"
"104","sp|Q9UL12|SARDH_HUMAN"
"105","sp|P01613|KV121_HUMAN"
"106","sp|P01625|KV402_HUMAN"
"107","sp|O43148|MCES_HUMAN"
"108","sp|P28838|AMPL_HUMAN"
"109","sp|Q13201|MMRN1_HUMAN"
"110","sp|P36269|GGT5_HUMAN"
"111","sp|P17813|EGLN_HUMAN"
"112","sp|P00488|F13A_HUMAN"
"113","sp|P45877|PPIC_HUMAN"
"114","sp|Q14112|NID2_HUMAN"
"115","sp|P01903|DRA_HUMAN"
"116","sp|P56192|SYMC_HUMAN"
"117","sp|P01594|KV102_HUMAN"
"118","sp|P02749|APOH_HUMAN"
"119","sp|P02452|CO1A1_HUMAN"
"120","sp|P07996|TSP1_HUMAN"
"121","sp|Q9BXX0|EMIL2_HUMAN"
"122","sp|P12109|CO6A1_HUMAN"
"123","sp|P04196|HRG_HUMAN"
"124","sp|Q08AF3|SLFN5_HUMAN"
"125","sp|Q8ND71|GIMA8_HUMAN"
"126","sp|P12036|NFH_HUMAN"
"127","sp|P14384|CBPM_HUMAN"
"128","sp|P60201|MYPR_HUMAN"
"129","sp|Q12965|MYO1E_HUMAN;sp|O00160|MYO1F_HUMAN"
"130","sp|P39023|RL3_HUMAN"
"131","sp|Q00013|EM55_HUMAN"
"132","sp|Q7Z406|MYH14_HUMAN"
"133","sp|CATA_HUMAN|"
"134","sp|P02647|APOA1_HUMAN"
"135","sp|Q13636|RAB31_HUMAN"
"136","sp|Q92882|OSTF1_HUMAN"
"137","sp|P02751|FINC_HUMAN"
"138","sp|Q02818|NUCB1_HUMAN"
"139","sp|Q9BZF9|UACA_HUMAN"
"140","sp|Q96KP4|CNDP2_HUMAN"
"141","sp|P35555|FBN1_HUMAN"
"142","sp|O75367|H2AY_HUMAN"
"143","sp|P09601|HMOX1_HUMAN"
"144","sp|P24821|TENA_HUMAN"
"145","sp|P05154|IPSP_HUMAN"
"146","sp|P20701|ITAL_HUMAN"
"147","sp|P55268|LAMB2_HUMAN"
"148","sp|P23381|SYWC_HUMAN"
"149","sp|P13489|RINI_HUMAN"
"150","sp|P51888|PRELP_HUMAN"
"151","sp|P36969|GPX4_HUMAN"
"152","sp|P05109|S10A8_HUMAN"
"153","sp|P41218|MNDA_HUMAN"
"154","sp|O43572|AKA10_HUMAN"
"155","sp|P02774|VTDB_HUMAN"
"156","sp|P07355|ANXA2_HUMAN"
"157","sp|P62750|RL23A_HUMAN"
"158","sp|P08567|PLEK_HUMAN"
"159","sp|Q9Y4F5|C170B_HUMAN"
"160","sp|Q8N142|PURA1_HUMAN"
"161","sp|P50995|ANX11_HUMAN"
"162","sp|P55212|CASP6_HUMAN"
"163","sp|P28289|TMOD1_HUMAN;sp|Q9NYL9|TMOD3_HUMAN"
"164","sp|P13674|P4HA1_HUMAN"
"165","sp|CAH1_HUMAN|"
"166","sp|P27338|AOFB_HUMAN"
"167","sp|P20742|PZP_HUMAN"
"168","sp|Q8IVF2|AHNK2_HUMAN"
"169","sp|Q13123|RED_HUMAN"
"170","sp|Q9BX67|JAM3_HUMAN"
"171","sp|Q6UWR7|ENPP6_HUMAN"
"172","sp|Q5SSJ5|HP1B3_HUMAN"
"173","sp|Q99569|PKP4_HUMAN"
"174","sp|Q86YQ8|CPNE8_HUMAN"
"175","sp|PRDX1_HUMAN|"
"176","sp|P02689|MYP2_HUMAN"
"177","sp|P23142|FBLN1_HUMAN"
"178","sp|P12429|ANXA3_HUMAN"
"179","sp|P01606|KV114_HUMAN"
"180","sp|P01619|KV301_HUMAN"
"181","sp|Q96GR2|ACBG1_HUMAN"
"182","sp|P05362|ICAM1_HUMAN"
"183","sp|P07197|NFM_HUMAN"
"184","sp|Q9BW30|TPPP3_HUMAN"
"185","sp|Q8N9I0|SYT2_HUMAN"
"186","sp|P23280|CAH6_HUMAN"
"187","sp|P35579|MYH9_HUMAN"
"188","sp|Q6RW13|ATRAP_HUMAN"
"189","sp|P08603|CFAH_HUMAN"
"190","sp|O75363|BCAS1_HUMAN"
"191","sp|P62834|RAP1A_HUMAN"
"192","sp|P53634|CATC_HUMAN"
"193","sp|O95817|BAG3_HUMAN"
"194","sp|O95670|VATG2_HUMAN"
