"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"sp|Q5T2P8|AXA81_HUMAN",9981.77222823917,12188.9202203783,30294.67503,17662.7706451118,14896.2688599799,24126.2945973327,2550.91522088872,13589.4773946633,8914.52493419708,308023.752877142,228590.562328534,43247.4240737867,35734.815076858,"-0.251975452747183","-0.00245207561503135"
"sp|P60033|CD81_HUMAN",1815239.94812465,2363664.33771375,7576046.628,5710817.52822507,7452305.67441099,6583267.92880884,1671688.70504208,3153009.26466216,3585945.5545485,9555212.27809681,8538026.61005431,3565965.09007333,5122839.84397894,"-4.96679111633899","-0.048651187362426"
"sp|P18031|PTN1_HUMAN",682053.084307083,778916.182772116,882583.4427,809117.530966393,1189761.40501748,1144462.21446356,327568.026990461,1055840.12467489,1234043.83742611,2096265.74739103,1953862.09963158,1740632.08912309,2005002.59539489,"-1.16897200192705","-0.0118162924359092"
"sp|P24666|PPAC_HUMAN",751838.262795854,869567.991570416,613703.1159,600976.372852532,590976.745605108,545881.189022233,699178.552110773,1238873.57003535,1129566.9192917,805840.561827268,921426.203808062,996846.940733176,887370.001741049,"-0.773975316076088","-0.00756757247015982"
"sp|P59666|DEF3_HUMAN",293307.308993986,251853.861318295,377059.4991,266681.39376612,47511.1006852357,49389.9303180241,133512.151340263,3158762.50821579,3247957.54960479,970203.164408755,1050092.00819614,256015.927703524,265845.605578324,"1.57237578573334","0.0165163312078032"
"sp|Q9UHL4|DPP2_HUMAN",85059.604830993,117255.251426586,276263.9584,254914.948898122,239980.830871183,257697.624185844,15776.0251901328,269424.040312107,357892.179073898,666282.984689835,586354.908985821,673495.991704657,605650.278769875,"-3.49267210352811","-0.0351191474386985"
"sp|P11908|PRPS2_HUMAN;sp|P21108|PRPS3_HUMAN",770275.952581222,1011937.74948326,1806257.495,1603487.03523924,2003110.76495142,1689220.4588496,62140.1123789666,2467300.08192547,2759800.5838051,890338.507525831,1029979.2258935,2284485.40611536,2104333.50501338,"-0.506589521202355","-0.00484369150638864"
"sp|Q9UBG0|MRC2_HUMAN",58104.4735659007,61659.2239797442,139168.6972,66745.5659113666,520105.687998058,447300.509784777,32538.6820537524,609389.541956254,665013.310295174,736403.215481258,1030842.53869869,558879.479489606,760583.633673034,"1.49651765462501","0.0155604711366709"
"sp|Q92542|NICA_HUMAN",96310.3435905022,119115.455351395,139736.2605,113385.179893996,343777.047463313,348060.117212627,32567.022383825,1126089.85704377,1067469.33620499,485541.77154887,485086.18021798,526145.171822708,506641.768530057,"2.31320148152081","0.0216379825369498"
"sp|Q9Y3U8|RL36_HUMAN",115016.553546178,144656.097355112,443611.9961,419237.674880004,541608.233386947,522634.390902267,65163.5365607075,154622.73425454,161843.869819536,1525721.74315216,1738679.36567803,753356.241265495,565282.185689418,"-3.561613558137","-0.0355979697800305"
