"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1051","sp|Q14151|SAFB2_HUMAN",845144.10785971,2093654.00637741,225864.16474038,168145.619261732,281257.886085682,334487.832572171,251496.822189379,190705.885737592,148100.407878348,146480.900642057,611332.558021245,653277.991792626,341197.478472569,958040.117705019,2534918.33708138,2424699.27642907,1928117.60829415,1985355.8510871,266404.091045835,165016.783674833,96337.3271734324,147793.755160438,95045.5783065605,134187.804489245,1353615.92738144,1485091.70372138,179306.334930433,196863.632495051,212701.045272774,194776.413970318,768028.631511666,875526.01665988
"1052","sp|Q9H3U1|UN45A_HUMAN",3547445.82183179,2897040.25345001,3518747.66037993,3292053.81230105,2858342.76314939,2893423.71339785,2623166.18317819,2596799.17442657,2954159.08241637,3121332.06470564,6742866.35576146,6081054.82918706,3870324.58426564,3878799.55665929,7010779.29883827,6261275.87565435,6765854.4423102,6681082.90045766,1673337.8278074,1683194.58438517,3931973.60492993,3911739.50412696,5189758.69019949,5368786.33855237,4301394.95796828,5380807.95455525,2912108.12586939,3070932.50704058,2442715.59219755,2101943.08152714,6300397.92684962,5963554.95921589
"1053","sp|Q14165|MLEC_HUMAN",15317216.6643651,17261735.7954139,5650418.25677817,6050660.93322705,14449438.4895011,15326844.4907662,7218507.16212468,7252335.50857145,5860079.31197609,6507855.27374818,11351300.1960301,11748834.0874585,7855859.53330714,8429380.03072775,26373906.1042223,25595539.003647,26026974.7223402,24482855.1665397,10154753.0269411,10620381.1464517,9137300.60912021,9542980.63542735,11519372.4127224,11678921.0335492,22904922.9960817,24452097.454624,6633383.65720639,6526104.18276013,4243502.24046152,4302327.59748494,16831245.9674236,17678809.318094
"1054","sp|Q9UNZ2|NSF1C_HUMAN",11281799.1056843,6039431.05144392,8299051.81464294,8109566.38967236,5841692.98419942,5868512.57868894,9651178.10090389,10215135.7944088,10915018.0714343,10500409.6363574,13243183.5620351,13106739.5347527,8593777.96944623,8544540.89708117,21059760.8444164,21467226.2611233,20418952.5445984,20726962.6125819,14764476.4404868,13559354.5454698,11655038.2490635,10917445.5508754,12105103.2133693,12055660.4217282,14888808.6101732,15491852.7616602,8385598.20816657,9220367.37747762,13139712.0954715,12957278.9105721,10513285.6591791,9273274.51572109
"1055","sp|Q9H1E3|NUCKS_HUMAN",2215723.92673386,1368314.60168355,2198089.77579893,2099288.72092091,3767127.85740249,3653945.53481242,2981263.79175546,3102570.25309113,6788472.13617714,6291812.09952437,13970831.0104986,14228487.5129522,7148375.07639615,7274212.23035145,58061957.4682507,54906559.4755654,49321836.0760369,47991960.4116829,12827056.4550835,13358969.9955368,9411459.6682994,10520113.1550001,13471808.4148788,13750987.6685338,15840136.2520784,16809779.5136225,7008858.20384071,7364319.39889446,9856483.57206432,8810054.7891829,7583917.64821239,7467088.09389987
"1056","sp|P39060|COIA1_HUMAN",17128903.5938367,44724249.8784116,170074.857154501,211335.462432245,4055081.26373058,1947503.75541657,1567344.03770132,1512875.61156305,369095.367278547,308581.127694545,2334194.0002868,4053431.93850304,6679759.11477823,7829495.73819008,6186229.13760126,5617940.44932556,4619755.01503771,4345499.3749811,1078910.14684991,1006839.84653483,275012.772504811,358484.827624738,461071.813409168,422969.08679072,3325388.58771064,2441649.32195748,414920.96237804,457373.945324101,3103004.94829707,2795742.00152671,804052.515291817,755402.423120062
"1057","sp|Q96EQ0|SGTB_HUMAN",14239353.2097728,14043533.04989,5120691.54520522,5294328.31657367,1182885.11083214,1553770.23294246,4469859.05757642,4634564.67738418,5970503.26628337,5749998.38924286,3811250.60482589,4022394.36572226,5823905.94908567,11023436.1881999,6192609.80032348,8518511.92911405,5133402.18839602,4700269.14204677,4868509.04704079,4422165.9562209,4293564.01629209,4259301.83123376,3274255.25739668,3365097.15375278,5212563.35603917,5554583.51212058,6238863.1735809,5850432.31506368,7059640.71551068,7273750.17591261,3623225.78479448,3381964.1636814
"1058","sp|Q9Y224|CN166_HUMAN",5382599.3232775,7182862.27875254,3291617.13025656,3188812.83695602,2969029.71254263,3330654.25591689,3199296.06553928,3343253.33276775,4031716.30934798,4013235.39461246,5433100.94852722,4831200.36610623,4312098.13577885,4241750.12759529,11795163.8655238,11538232.643132,11179147.1184255,10884601.5229373,3616783.37241803,3544309.25605633,4262169.87118158,4316363.18811658,4380172.66445318,4859317.33329863,8154119.14156795,7872805.51948677,3835892.72685958,3837807.32012957,3305943.47110732,3505185.26941469,8596555.241386,7409684.27377942
"1059","sp|P19823|ITIH2_HUMAN",31328398.2427019,39219726.8164532,5738706.04204033,5630476.14619739,840507.111986782,944230.871342946,1068567.50635689,919121.70936741,451525.455517405,461232.3706741,2929252.92928994,2473300.56758709,18971309.5499316,19162234.8692074,1800974.00907283,1771324.9029945,1490101.06322819,1501488.81224249,825079.534447323,718411.093177585,543028.865291708,520952.252502199,638814.846260184,661936.607780205,1630481.83798799,1658315.75707935,907520.168802055,856134.015229578,1845058.75300188,1690757.09733987,1876246.83489562,1816039.99924879
"1060","sp|Q9HCJ6|VAT1L_HUMAN",686291.453950836,1223882.41921434,4073231.38510519,4453958.74251435,4168970.20751531,4235156.28115657,2863668.63744784,3443570.65063826,5398149.88544657,6564407.07735389,2704320.7284768,2332734.20976977,1041525.90179671,994814.127029444,1018267.04833902,326053.508359842,705463.063334957,373635.589490269,5880417.73925418,5099702.70041209,4131364.30467072,4196040.73926575,4267208.42211573,4652565.5515304,1111379.91114677,1327658.50666039,5415056.09689284,4264947.11173466,3314055.10189292,3612145.3561604,1039333.02833067,583604.245540002
