"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903035","GO:1903035","negative regulation of response to wounding","18/159","27/476",0.000284190643466097,0.0144118398027797,0.0127021072927499,"P03952/P02743/P02749/P01042/P00734/P10451/Q96IY4/P04196/P08697/P04004/P03951/P00748/P00747/P07996/P04070/P05121/P02675/P02679",18
"GO:0008202","GO:0008202","steroid metabolic process","14/159","19/476",0.000297687465244917,0.0144118398027797,0.0127021072927499,"Q13790/P27169/P02652/P10451/P02647/P02774/P01019/P02654/P04114/O95479/P10721/P11597/P08185/P04180",14
"GO:0061045","GO:0061045","negative regulation of wound healing","17/159","25/476",0.00029875042650488,0.0144118398027797,0.0127021072927499,"P03952/P02743/P02749/P01042/P00734/Q96IY4/P04196/P08697/P04004/P03951/P00748/P00747/P07996/P04070/P05121/P02675/P02679",17
"GO:0050820","GO:0050820","positive regulation of coagulation","9/159","10/476",0.000315387550393846,0.0144118398027797,0.0127021072927499,"P02749/P00734/Q96IY4/P04196/P08697/P00748/P00747/P07996/P05121",9
"GO:0051336","GO:0051336","regulation of hydrolase activity","43/159","87/476",0.000458000536103482,0.0185137909017215,0.0163174280069257,"P17900/P0C0L5/Q16663/P05546/P19827/P02743/P05062/P02749/P01009/P29622/P01042/Q9UK55/P02652/Q14624/P80108/P04196/P04083/P02647/P19823/P01019/P08697/P04406/P01024/P04004/P05543/P0C0L4/P02654/P12111/P10721/Q06323/P07996/P06702/P02760/P05109/P02765/Q06033/P01031/P06744/P08185/P02656/P05121/P05154/Q9UGM5",43
"GO:0002526","GO:0002526","acute inflammatory response","19/159","30/476",0.000512370742586035,0.0192322018020687,0.0169506110329215,"P00739/Q86VB7/P03952/P02743/P01009/P0DJI9/P00738/P00734/P18428/P0DJI8/P02652/Q14624/P19652/P08697/P01024/P02763/P00748/P05109/P02765",19
"GO:0001819","GO:0001819","positive regulation of cytokine production","19/159","31/476",0.000935225357985519,0.0259823139464552,0.0228999311661881,"Q15063/P07900/P18428/P0DJI8/Q9NPH3/P02652/P04083/P19652/P01019/P08697/P04406/P10909/P01024/P02763/P10721/P07996/P00491/P01031/P05121",19
"GO:0031324","GO:0031324","negative regulation of cellular metabolic process","44/159","92/476",0.00100375510069061,0.0270499130980982,0.0238408768854989,"P0C0L5/P11142/P05546/P19827/P02743/P31949/P01009/P29622/P01042/P00738/P00734/Q9UK55/Q14624/Q96IY4/P80108/P04196/P19823/P01019/P08697/P04406/P10909/P01024/P04004/P05543/P0C0L4/P02654/P12111/P26927/P07996/P02760/P02765/P62258/Q06033/P01031/P06744/P08185/P02656/P31946/P05121/P05154/P17936/P05090/Q9UGM5/Q12906",44
"GO:0007596","GO:0007596","blood coagulation","28/159","53/476",0.0015658188740269,0.0335153317669439,0.0295392778355558,"Q13201/P22891/P05546/P03952/P02749/P01009/P01042/P00734/P0DJI8/Q9UK55/Q96IY4/P04196/P08697/P04004/P03951/P00748/Q04756/P49747/P20851/P00747/P07996/P04275/P04070/P05121/P02675/O00299/P02679/P00740",28
"GO:0050817","GO:0050817","coagulation","28/159","53/476",0.0015658188740269,0.0335153317669439,0.0295392778355558,"Q13201/P22891/P05546/P03952/P02749/P01009/P01042/P00734/P0DJI8/Q9UK55/Q96IY4/P04196/P08697/P04004/P03951/P00748/Q04756/P49747/P20851/P00747/P07996/P04275/P04070/P05121/P02675/O00299/P02679/P00740",28
"GO:0019835","GO:0019835","cytolysis","11/159","15/476",0.00156902163096761,0.0335153317669439,0.0295392778355558,"P02748/P00734/P18428/P07358/Q9BXR6/P04196/P13671/P07357/P07360/P36980/P01031",11
"GO:0061135","GO:0061135","endopeptidase regulator activity","26/159","43/473",0.000141615663059483,0.0158178972776532,0.0141454880172772,"P0C0L5/P05546/P19827/P01009/P29622/P01042/Q9UK55/Q14624/P04196/P19823/P01019/P08697/P04406/P01024/P05543/P0C0L4/P12111/Q06323/P02760/P02765/Q06033/P01031/P08185/P05121/P05154/Q9UGM5",26
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","25/159","42/473",0.000279962783675277,0.0158178972776532,0.0141454880172772,"P0C0L5/P05546/P19827/P01009/P29622/P01042/Q9UK55/Q14624/P04196/P19823/P01019/P08697/P04406/P01024/P05543/P0C0L4/P12111/P02760/P02765/Q06033/P01031/P08185/P05121/P05154/Q9UGM5",25
"GO:0008289","GO:0008289","lipid binding","24/159","42/473",0.00089341555101486,0.0197615758468493,0.0176722056944344,"Q13790/P11142/O95445/P02749/P01591/P00734/P27169/P18428/P02652/P04083/P02647/P02774/P07360/P02654/P04114/P07996/P06702/P11597/P05109/P04278/P08185/P02656/P05154/P05090",24
"GO:0016787","GO:0016787","hydrolase activity","44/159","95/473",0.00281119600708114,0.0389390822830286,0.034822095008577,"P00739/P60900/P17900/P16930/P11142/P22891/P03952/Q96PD5/P30101/P07900/O43866/P28827/Q9BQE3/P00738/P00734/P27169/P18669/Q9NPH3/P15169/Q96IY4/P80108/Q14520/P00751/P15259/Q92820/Q96KN2/Q9HDC9/P05156/P06276/P03951/P00748/Q04756/O95479/P43251/Q96SM3/P00747/O43240/P04180/P11021/P06681/P04070/Q92743/P25311/P00740",44
"GO:0072562","GO:0072562","blood microparticle","41/160","68/482",6.61229561444062e-07,9.98456637780534e-05,8.9091983015621e-05,"P00739/P0C0L5/P02748/P11142/P02790/P19827/P02743/P01591/O43866/P04003/P01042/P00738/P00734/P27169/P04217/P02652/Q14624/P04196/P02647/P02774/P19823/P00751/P19652/P01019/P08697/P10909/P06276/P01024/P04004/P63104/P02763/P0C0L4/P07357/P07360/P00747/P02760/P02765/P26038/P02675/O00299/P02679",41
"GO:0070062","GO:0070062","extracellular exosome","121/160","310/482",0.00015504231006623,0.00805282860390673,0.00718551454374389,"P00739/P60900/P35858/P17900/P0C0L5/P16930/B9A064/P02748/P11142/P22891/P05546/Q9BYE9/P03952/P02790/P19827/Q96PD5/P02743/P30101/P31949/P05062/P02749/P07900/P01591/P01009/P0DJI9/P29622/P01042/P00738/P00734/P27169/P18428/P18669/P0DJI8/P04217/P07358/Q9UK55/P98088/Q92626/P02652/P10451/Q14624/Q96IY4/P80108/P04196/P04083/P02647/O43707/P02774/P19823/P13671/P02750/P00751/P19652/P01019/P15259/P08697/P04406/Q92820/P05156/P10909/P01024/P04004/P63104/Q15582/P02763/P05543/P0C0L4/P03951/P07357/P07360/P00748/P02766/P04114/P12111/Q6UVK1/P43251/Q99715/Q06323/P49747/P19801/P50895/P00747/P04075/P07996/P06702/P11597/P02760/P05109/P00558/P02765/P00491/P62258/P04278/Q06033/P01031/P06744/Q9UGM3/P08185/P04180/P11021/P02792/P06681/Q12841/P02656/P04275/P31946/P26038/P62805/P05121/P05154/P02675/O00299/P02679/P05164/P60174/P05090/Q9UGM5/Q92743/P25311/P00338/P00740",121
"GO:0034364","GO:0034364","high-density lipoprotein particle","15/160","21/482",0.000285146896152946,0.00805282860390673,0.00718551454374389,"Q13790/P00739/O95445/P02749/P0DJI9/P27169/P0DJI8/P02652/P02647/P10909/P02654/P04114/P11597/P04180/P02656",15
"GO:0043230","GO:0043230","extracellular organelle","121/160","313/482",0.000319979944526095,0.00805282860390673,0.00718551454374389,"P00739/P60900/P35858/P17900/P0C0L5/P16930/B9A064/P02748/P11142/P22891/P05546/Q9BYE9/P03952/P02790/P19827/Q96PD5/P02743/P30101/P31949/P05062/P02749/P07900/P01591/P01009/P0DJI9/P29622/P01042/P00738/P00734/P27169/P18428/P18669/P0DJI8/P04217/P07358/Q9UK55/P98088/Q92626/P02652/P10451/Q14624/Q96IY4/P80108/P04196/P04083/P02647/O43707/P02774/P19823/P13671/P02750/P00751/P19652/P01019/P15259/P08697/P04406/Q92820/P05156/P10909/P01024/P04004/P63104/Q15582/P02763/P05543/P0C0L4/P03951/P07357/P07360/P00748/P02766/P04114/P12111/Q6UVK1/P43251/Q99715/Q06323/P49747/P19801/P50895/P00747/P04075/P07996/P06702/P11597/P02760/P05109/P00558/P02765/P00491/P62258/P04278/Q06033/P01031/P06744/Q9UGM3/P08185/P04180/P11021/P02792/P06681/Q12841/P02656/P04275/P31946/P26038/P62805/P05121/P05154/P02675/O00299/P02679/P05164/P60174/P05090/Q9UGM5/Q92743/P25311/P00338/P00740",121
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","121/160","313/482",0.000319979944526095,0.00805282860390673,0.00718551454374389,"P00739/P60900/P35858/P17900/P0C0L5/P16930/B9A064/P02748/P11142/P22891/P05546/Q9BYE9/P03952/P02790/P19827/Q96PD5/P02743/P30101/P31949/P05062/P02749/P07900/P01591/P01009/P0DJI9/P29622/P01042/P00738/P00734/P27169/P18428/P18669/P0DJI8/P04217/P07358/Q9UK55/P98088/Q92626/P02652/P10451/Q14624/Q96IY4/P80108/P04196/P04083/P02647/O43707/P02774/P19823/P13671/P02750/P00751/P19652/P01019/P15259/P08697/P04406/Q92820/P05156/P10909/P01024/P04004/P63104/Q15582/P02763/P05543/P0C0L4/P03951/P07357/P07360/P00748/P02766/P04114/P12111/Q6UVK1/P43251/Q99715/Q06323/P49747/P19801/P50895/P00747/P04075/P07996/P06702/P11597/P02760/P05109/P00558/P02765/P00491/P62258/P04278/Q06033/P01031/P06744/Q9UGM3/P08185/P04180/P11021/P02792/P06681/Q12841/P02656/P04275/P31946/P26038/P62805/P05121/P05154/P02675/O00299/P02679/P05164/P60174/P05090/Q9UGM5/Q92743/P25311/P00338/P00740",121
"GO:1903561","GO:1903561","extracellular vesicle","121/160","313/482",0.000319979944526095,0.00805282860390673,0.00718551454374389,"P00739/P60900/P35858/P17900/P0C0L5/P16930/B9A064/P02748/P11142/P22891/P05546/Q9BYE9/P03952/P02790/P19827/Q96PD5/P02743/P30101/P31949/P05062/P02749/P07900/P01591/P01009/P0DJI9/P29622/P01042/P00738/P00734/P27169/P18428/P18669/P0DJI8/P04217/P07358/Q9UK55/P98088/Q92626/P02652/P10451/Q14624/Q96IY4/P80108/P04196/P04083/P02647/O43707/P02774/P19823/P13671/P02750/P00751/P19652/P01019/P15259/P08697/P04406/Q92820/P05156/P10909/P01024/P04004/P63104/Q15582/P02763/P05543/P0C0L4/P03951/P07357/P07360/P00748/P02766/P04114/P12111/Q6UVK1/P43251/Q99715/Q06323/P49747/P19801/P50895/P00747/P04075/P07996/P06702/P11597/P02760/P05109/P00558/P02765/P00491/P62258/P04278/Q06033/P01031/P06744/Q9UGM3/P08185/P04180/P11021/P02792/P06681/Q12841/P02656/P04275/P31946/P26038/P62805/P05121/P05154/P02675/O00299/P02679/P05164/P60174/P05090/Q9UGM5/Q92743/P25311/P00338/P00740",121
"GO:0032994","GO:0032994","protein-lipid complex","15/160","22/482",0.000635108218272777,0.010655704551021,0.00950805285835269,"Q13790/P00739/O95445/P02749/P0DJI9/P27169/P0DJI8/P02652/P02647/P10909/P02654/P04114/P11597/P04180/P02656",15
"GO:1990777","GO:1990777","lipoprotein particle","15/160","22/482",0.000635108218272777,0.010655704551021,0.00950805285835269,"Q13790/P00739/O95445/P02749/P0DJI9/P27169/P0DJI8/P02652/P02647/P10909/P02654/P04114/P11597/P04180/P02656",15
"GO:0031983","GO:0031983","vesicle lumen","42/160","88/482",0.00125480719465875,0.0189475886393471,0.0169068758859284,"Q13201/P17900/P11142/P31949/P02749/P07900/P01009/P29622/P01042/P00738/P18669/P04217/Q14624/P04196/P02647/O43707/P02750/P19652/P08697/Q92820/P10909/P01024/P02763/P02766/P04114/P19801/P00747/P04075/P07996/P06702/P05109/P02765/P00491/P09486/Q06033/P06744/P02792/P04275/P05121/P02675/P02679/P05164",42
