"","x"
"83","sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN"
"84","sp|P02774|VTDB_HUMAN"
"85","sp|PRDX1_HUMAN|"
"86","sp|P19823|ITIH2_HUMAN"
"87","sp|P13671|CO6_HUMAN"
"88","sp|P02750|A2GL_HUMAN"
"89","sp|P00751|CFAB_HUMAN"
"90","sp|P19652|A1AG2_HUMAN"
"91","sp|P01019|ANGT_HUMAN"
"92","sp|P15259|PGAM2_HUMAN"
"93","sp|P08697|A2AP_HUMAN"
"94","sp|P04406|G3P_HUMAN"
"95","sp|Q92820|GGH_HUMAN"
"96","sp|Q96KN2|CNDP1_HUMAN"
"97","sp|P19971|TYPH_HUMAN"
"98","sp|Q9HDC9|APMAP_HUMAN"
"99","sp|P05156|CFAI_HUMAN"
"100","sp|P10909|CLUS_HUMAN"
"101","sp|P06276|CHLE_HUMAN"
"102","sp|P01024|CO3_HUMAN"
"103","sp|P04004|VTNC_HUMAN"
"104","sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN"
"105","sp|P63104|1433Z_HUMAN"
"106","sp|Q15582|BGH3_HUMAN"
"107","sp|P02763|A1AG1_HUMAN"
"108","sp|P05543|THBG_HUMAN"
"109","sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS"
"110","sp|P0C0L4|CO4A_HUMAN"
"111","sp|P03951|FA11_HUMAN"
"112","sp|P07357|CO8A_HUMAN"
"113","sp|P07360|CO8G_HUMAN"
"114","sp|P00748|FA12_HUMAN"
"115","sp|P02654|APOC1_HUMAN"
"116","sp|P02766|TTHY_HUMAN"
"117","sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN"
"118","sp|P12111|CO6A3_HUMAN"
"119","sp|Q6UVK1|CSPG4_HUMAN"
"120","sp|Q04756|HGFA_HUMAN"
"121","sp|P36980|FHR2_HUMAN"
"122","sp|O95479|G6PE_HUMAN"
"123","sp|P10721|KIT_HUMAN"
"124","sp|P43251|BTD_HUMAN"
"125","sp|Q99715|COCA1_HUMAN"
"126","sp|Q06323|PSME1_HUMAN"
"127","sp|P49747|COMP_HUMAN"
"128","sp|P19801|AOC1_HUMAN"
"129","sp|P20851|C4BPB_HUMAN"
"130","sp|Q96SM3|CPXM1_HUMAN"
"131","sp|P50895|BCAM_HUMAN"
"132","sp|P20908|CO5A1_HUMAN"
"133","sp|P00747|PLMN_HUMAN"
"134","sp|P26927|HGFL_HUMAN"
"135","sp|P40199|CEAM6_HUMAN"
"136","sp|P04075|ALDOA_HUMAN"
"137","sp|P07996|TSP1_HUMAN"
"138","sp|P06702|S10A9_HUMAN"
"139","sp|P11597|CETP_HUMAN"
"140","sp|P02760|AMBP_HUMAN"
"141","sp|P05109|S10A8_HUMAN"
"142","sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN"
"143","sp|P02765|FETUA_HUMAN"
"144","sp|P00491|PNPH_HUMAN"
"145","sp|P62258|1433E_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN;sp|P31947|1433S_HUMAN"
"146","sp|O43240|KLK10_HUMAN"
"147","sp|P04278|SHBG_HUMAN"
"148","sp|P05997|CO5A2_HUMAN"
"149","sp|P09486|SPRC_HUMAN"
"150","sp|Q06033|ITIH3_HUMAN"
"151","sp|P01031|CO5_HUMAN"
"152","sp|P06744|G6PI_HUMAN"
"153","sp|Q9UGM3|DMBT1_HUMAN"
"154","sp|P08185|CBG_HUMAN"
"155","sp|P04180|LCAT_HUMAN"
"156","sp|P11021|GRP78_HUMAN"
"157","sp|P02792|FRIL_HUMAN"
"158","sp|P06681|CO2_HUMAN"
"159","sp|Q12841|FSTL1_HUMAN"
"160","sp|P02656|APOC3_HUMAN"
"161","sp|P04275|VWF_HUMAN"
"162","sp|P49746|TSP3_HUMAN"
"163","sp|P04070|PROC_HUMAN"
"164","sp|P31946|1433B_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN"
"165","sp|P26038|MOES_HUMAN;sp|P15311|EZRI_HUMAN;sp|P35241|RADI_HUMAN"
"166","sp|Q13308|PTK7_HUMAN"
"167","sp|P62805|H4_HUMAN"
"168","sp|P05121|PAI1_HUMAN"
"169","sp|P05154|IPSP_HUMAN"
"170","sp|P02675|FIBB_HUMAN"
"171","sp|P17936|IBP3_HUMAN"
"172","sp|O00299|CLIC1_HUMAN"
"173","sp|P02679|FIBG_HUMAN"
"174","sp|P05164|PERM_HUMAN"
"175","sp|P60174|TPIS_HUMAN"
"176","sp|P05090|APOD_HUMAN"
"177","sp|Q9UGM5|FETUB_HUMAN"
"178","sp|P13611|CSPG2_HUMAN"
"179","sp|Q92743|HTRA1_HUMAN"
"180","sp|P25311|ZA2G_HUMAN"
"181","sp|Q12906|ILF3_HUMAN"
"182","sp|P00338|LDHA_HUMAN"
"183","sp|P08519|APOA_HUMAN"
"184","sp|P00740|FA9_HUMAN"
