"Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S1.19","S1.20","S1.21","S1.22","S1.23","S1.24","S1.25","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN;sp|Q5JQF8|PAP1M_HUMAN;sp|Q96DU9|PABP5_HUMAN",35400000,23600000,58700000,57200000,10700000,10600000,41800000,37100000,2.2e+07,21300000,99600000,78100000,6.5e+07,59600000,72700000,65600000,1.01e+08,9.9e+07,53300000,5.7e+07,25300000,27400000,36600000,35100000,22900000,26700000,36400000,38600000,10900000,1.1e+07,49100000,42700000,0.457,1.6729,0.925259,0.795554,0.819915,0.920245225893583,0.917641432521759,0.816394024394223
"sp|P17480|UBF1_HUMAN",15578.1503,7375.4073,96161.824,121502.6301,32398.7187,27609.0812,22159.2493,29041.8112,22636.6488,44967.5885,155982.8958,179870.818,145233.702,124975.2563,850290.7958,680261.1893,1187865.871,1062539.505,15855.5132,17589.6518,57047.5583,50065.4578,137799.6966,140177.8675,62397.3932,26730.301,24362.3554,46883.2221,22176.754,16698.9528,58780.8701,58730.2152,0.89,1.6724,0.925415,0.795632,0.819889,0.920409200011036,0.917805365031233,0.81636876037266
"sp|P30048|PRDX3_HUMAN",23200000,2.5e+07,1.1e+08,1.18e+08,11800000,12200000,77500000,80100000,41800000,43900000,1.07e+08,88300000,4.9e+07,53800000,27800000,26700000,35600000,3.7e+07,83800000,85300000,42800000,44300000,52700000,53800000,3.2e+07,34100000,83800000,97800000,39600000,37300000,4.3e+07,39300000,0.47,1.672,0.925539,0.795695,0.819869,0.920540188311747,0.917936320620429,0.816348508446765
"sp|Q53H12|AGK_HUMAN",6621145.5,1354087.468,2.8e+07,29100000,3553452.935,3925744.354,19800000,19300000,1.3e+07,1.3e+07,24900000,18900000,7584139.229,7073538.846,8259550.874,8228990.749,1.2e+07,12300000,19300000,18800000,9914653.323,10400000,13200000,13500000,6375615.631,7820833.245,21400000,22800000,5889039.995,5901822.283,7631821.368,6951240.615,0.52,1.6711,0.925818,0.795836,0.819822,0.920834290807976,0.918230351384268,0.816302809400016
"sp|Q9P1U1|ARP3B_HUMAN",37626.5001,47908.363,1856559.882,2006750.487,55666.0006,53084.4382,705383.7915,658898.9821,1020583.187,952850.6201,313428.9064,260150.8986,290364.159,168649.6845,341035.5668,305217.2968,155460.0671,157510.5694,660102.0489,840608.7226,631029.1214,689609.3351,651606.3133,870545.2057,93474.4968,95603.306,1690738.28,1852565.228,134583.6175,456431.3198,145381.5461,69730.8465,0.87,1.6702,0.926098,0.795977,0.819776,0.921142383572637,0.918538289263122,0.816256925691387
"sp|Q9P2K5|MYEF2_HUMAN",754004.6236,878506.9031,2103103.486,2351301.74,205818.1536,211212.5348,1512748.238,1379124.357,954964.4609,937653.8662,2433593.669,1952191.628,1680943.764,1291539.633,893127.207,902840.8981,1093402.777,1031490.163,2049334.302,1852834.488,1033489.031,1047383.6,1436203.352,1323248.965,454521.8892,498738.3137,1648698.051,1707144.04,615049.2607,608009.9391,555885.8659,585155.2692,0.431,1.6665,0.927253,0.796558,0.819583,0.922374743184375,0.919770185039654,0.816066335660513
"sp|Q9BX66|SRBS1_HUMAN",769970.151,1036401.09,7849621.892,8124278.546,603285.0654,695225.3152,7751462.317,8599065.068,3609489.792,3585872.444,3923277.3,2749414.249,1826164.059,1739307.763,1510749.12,1346720.713,1792458.056,1913350.438,3811237.052,3403381.106,1929889.995,2333607.253,1646099.496,2078184.068,2936351.98,3065831.414,5821284.363,5644664.018,1605174.199,1955076.789,1726948.765,2408018.76,0.517,1.6658,0.927473,0.796668,0.819546,0.922605961177585,0.920001321915293,0.816029923042052
"sp|P50990|TCPQ_HUMAN",25800000,21900000,1.13e+08,1.15e+08,20300000,20700000,60700000,58100000,40200000,41100000,1.06e+08,83600000,61500000,5.3e+07,50900000,47500000,67400000,68300000,72300000,73900000,4.3e+07,42200000,55600000,60500000,55200000,59500000,75100000,76400000,23500000,22900000,59900000,56500000,0.362,1.6648,0.927785,0.796825,0.819493,0.922948441588733,0.920343613815857,0.815977709646891
"sp|P02689|MYP2_HUMAN",9616.1093,73560.8912,946164.2582,844374.4304,12700000,18500000,479064.2937,467939.3232,87025.3262,91516.8265,4424440.719,3307605.331,34597.2666,16397.2406,10001.2802,9950.0121,7981.7923,7166.9907,183376.9199,144419.0017,515494.4401,462191.1622,1171069.158,1182185.153,0,545.357,347022.2756,358192.947,47820.6738,45194.767,683990.8477,566969.5859,-1.941,-1.6639,0.041777,0.835163,0.013385,0.0380305303163568,0.0380796489715199,0.0119705053575481
"sp|Q8TEQ6|GEMI5_HUMAN",49625.6693,21860.7274,21519.8227,12893.0079,19557.5166,16531.1,30495.3885,46598.1876,12081.2916,14443.1721,203238.9766,204706.7684,207649.5411,119511.9051,887398.7823,889714.1924,1213587.656,1236521.933,76166.8121,55649.5293,24577.115,16556.348,33383.9111,30066.4295,57313.1169,88178.3854,14917.2212,20888.3993,2477.1342,2827.2979,123119.7864,118778.9884,1.106,1.6637,0.928132,0.796998,0.819435,0.923314532191556,0.92070955500925,0.815920003403422
