"Protein","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q9H8L6|MMRN2_HUMAN",408967.0274,1113216.708,1299233.166,2274022.012,1410332.828,3984468.919,1.033,1.9708,0.151694,0.019507,0.714836,0.154675360340345,0.151826032138977,0.717288538192688
"sp|P08697|A2AP_HUMAN",1.92e+09,2.76e+09,1.45e+09,1.05e+09,1.38e+09,1.14e+09,-0.503,-1.9647,0.678286,0.440848,0.332195,0.684474892943257,0.666400604160133,0.338165200625941
"sp|P06702|S10A9_HUMAN",1.76e+08,57200000,1.59e+08,20700000,15800000,91900000,-1.364,-1.9568,0.681859,0.44068,0.33447,0.688057099837239,0.669974467621742,0.340442116131043
"sp|P00734|THRB_HUMAN",7.53e+09,8.44e+09,6.82e+09,4.38e+09,5.85e+09,4.6e+09,-0.445,-1.9538,0.683219,0.440615,0.335334,0.689300544388505,0.671220822186132,0.341307786621398
"sp|P16070|CD44_HUMAN",28100000,21400000,15600000,44400000,35700000,27900000,0.539,1.9363,0.160396,0.020829,0.718644,0.16348039939014,0.160492511221928,0.721100173738632
"sp|Q15904|VAS1_HUMAN",700671.7176,326546.2891,704535.7819,825027.9643,914966.3296,1454644.983,0.656,1.9317,0.161579,0.021011,0.719154,0.164695508030677,0.161688293051289,0.721609945594656
"sp|P16035|TIMP2_HUMAN",4473089.417,188314.6838,1509310.791,7508136.232,6399801.988,4372575.888,1.634,1.9234,0.16371,0.021342,0.720074,0.166758709851175,0.163721673288929,0.722531034189849
"Int_P01008ups|ANT3_HUMAN_UPS",3.64e+09,4.18e+09,3.2e+09,1.81e+09,3.09e+09,2.05e+09,-0.478,-1.9038,0.705984,0.439459,0.349847,0.712064120575922,0.693928883694782,0.355831644393046
"sp|P40199|CEAM6_HUMAN",469754.3118,183341.3007,1514606.614,132595.7964,30695.6024,317821.1134,-1.505,-1.903,0.70635,0.439439,0.350081,0.712434252647935,0.69429785008557,0.356065469268731
"sp|Q9HDC9|APMAP_HUMAN",10200000,5602719.024,5434031.101,3931299.705,3551589.585,4467202.455,-0.522,-1.9026,0.706533,0.43943,0.350197,0.712619312975578,0.694482328115835,0.35618239962177
"sp|P48637|GSHB_HUMAN",114031.1663,452642.6563,760500.5188,756687.906,1219672.943,1304542.169,1.084,1.8822,0.174508,0.023047,0.724666,0.177723479546669,0.174519503241008,0.727123024313226
"sp|P01854|IGHE_HUMAN",527875.9704,3231197.607,443952.3344,18900000,2221478.702,2206630.496,1.645,1.8818,0.174614,0.023064,0.724711,0.177832475003764,0.17462684571776,0.727167770535374
"sp|P15144|AMPN_HUMAN",38100000,14800000,21500000,4.6e+07,43300000,42900000,0.642,1.8793,0.175281,0.023171,0.724991,0.178514737129943,0.175298765255959,0.727447501870639
"sp|P20062|TCO2_HUMAN",76691.0393,885597.5425,515609.8428,1337250.357,1113941.105,1619808.435,1.389,1.8761,0.176137,0.023308,0.725349,0.179390651061216,0.176161411872547,0.727805725805131
"sp|P05109|S10A8_HUMAN",3.33e+08,1.1e+08,2.83e+08,33700000,26200000,2.17e+08,-1.271,-1.8462,0.732611,0.437936,0.366786,0.738458625976247,0.72025303482849,0.372775893030096
"sp|P29622|KAIN_HUMAN",3.83e+08,4.91e+08,4.96e+08,3.06e+08,3.47e+08,2.83e+08,-0.391,-1.82,0.744904,0.437172,0.374563,0.750937224812653,0.732676880564864,0.380553625740371
"sp|Q9UNW1|MINP1_HUMAN",14500000,5301953.564,5056645.176,11700000,16200000,17300000,0.7,1.8028,0.196487,0.026636,0.733617,0.200022115463944,0.196488628997061,0.736061233404261
"sp|Q96KN2|CNDP1_HUMAN",7466535.23,11600000,9981810.955,2597910.516,7082096.911,6394882.17,-0.641,-1.8003,0.754305,0.436566,0.38044,0.760126037407352,0.74183386163626,0.386427855424372
"sp|P01880|IGHD_HUMAN",62100000,1.32e+08,35800000,3.87e+08,7.48e+08,93600000,1.483,1.7882,0.200732,0.027341,0.735276,0.204349813312091,0.200752564913529,0.737715840219965
"sp|P22891|PROZ_HUMAN",11800000,10900000,12400000,6823747.22,9313225.794,8278088.465,-0.378,-1.7875,0.760398,0.436158,0.384272,0.766312907815774,0.747989701083398,0.390258288791939
"sp|P04217|A1BG_HUMAN",1.34e+10,1.49e+10,1.11e+10,8.73e+09,1.01e+10,8.38e+09,-0.368,-1.7857,0.761254,0.436099,0.384811,0.767181586224398,0.74885407980067,0.390797805217276
"sp|P00736|C1R_HUMAN",2.03e+09,1.36e+09,1.87e+09,2.93e+09,2.49e+09,2.77e+09,0.45,1.7818,0.202623,0.027655,0.736004,0.206257057676479,0.202631976995994,0.738441842615995
"sp|P11597|CETP_HUMAN",4096657.847,8448680.81,2218527.378,1433442.91,2417559.499,2320450.413,-0.737,-1.7744,0.766742,0.435728,0.388203,0.772369169400116,0.754027133668057,0.394186921252893
"sp|P02654|APOC1_HUMAN",1.13e+09,8.32e+08,4.52e+08,3.74e+08,3.92e+08,5.24e+08,-0.569,-1.7648,0.771397,0.435405,0.391091,0.777090215654926,0.758721033041557,0.397072511277748
"sp|P62805|H4_HUMAN",1297896.97,48500000,11200000,973014.6387,290053.0529,3487353.572,-2.032,-1.7582,0.774591,0.435179,0.393079,0.780329521814289,0.761941971389484,0.399059741677267
"sp|P02652|APOA2_HUMAN",9.81e+09,8.66e+09,7.53e+09,6.45e+09,5.74e+09,4.13e+09,-0.47,-1.7414,0.782816,0.43459,0.398153,0.78827897559651,0.769858288709203,0.40412810478172
"sp|Q99715|COCA1_HUMAN",3.3e+07,10900000,18700000,5455904.334,13200000,9496798.943,-0.777,-1.7324,0.787253,0.434265,0.400877,0.792766927956047,0.77431779456003,0.406849558083681
"sp|P04196|HRG_HUMAN",4.21e+09,5.09e+09,3.22e+09,2.5e+09,3.16e+09,2.35e+09,-0.412,-1.7318,0.787548,0.434243,0.401059,0.793065717381513,0.774614705373105,0.407031163021791
"sp|Q99650|OSMR_HUMAN",2656098.245,177889.9638,320802.6296,3352623.907,2005211.896,1388113.767,1.38,1.7267,0.219525,0.030472,0.742295,0.223335604788035,0.219459981331288,0.744709303487229
"sp|P04080|CYTB_HUMAN",1288890.932,964370.9608,4525487.308,3533547.637,5237387.765,4613345.151,0.887,1.7262,0.219684,0.030499,0.742352,0.223494308620107,0.219616380676983,0.744766286560204
"sp|Q9BYZ8|REG4_HUMAN",14611.6332,63026.3539,18800000,71647.9318,420.1241,28479.0597,-3.718,-1.6874,0.809622,0.43255,0.414569,0.814974126861143,0.796392532607871,0.420522115033655
