"Protein","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q04756|HGFA_HUMAN",5.7e+07,76600000,78400000,37900000,77900000,5.8e+07,-0.224,-0.7289,0.998832,0.354292,0.681269,0.999153818202072,0.984479780389996,0.685004595395893
"sp|P35237|SPB6_HUMAN",34900000,2711041.971,16400000,1.2e+07,3957544.845,3953799.101,-0.641,-0.7139,0.999066,0.352447,0.684231,0.999630446676672,0.985005870864193,0.687934863164876
"sp|P02656|APOC3_HUMAN",8.66e+08,5.64e+08,1.48e+09,6.63e+08,4.96e+08,9.69e+08,-0.261,-0.7131,0.999074,0.352348,0.684387,0.999651271365843,0.985029390060604,0.688090033421144
"sp|Q7Z5L7|PODN_HUMAN",1381120.983,201330.4853,376641.6973,667498.9633,625953.3169,1034365.276,0.503,0.7124,0.786016,0.130133,0.813148,0.788357832757275,0.77480639533834,0.81527606607042
"sp|P05997|CO5A2_HUMAN",7888976.347,9995787.191,5464783.936,3588493.551,7786896.681,6009602.878,-0.317,-0.7119,0.999085,0.352199,0.684622,0.999681635173036,0.985063806325893,0.688322574970012
"sp|P36980|FHR2_HUMAN",93100000,75800000,64800000,65700000,75500000,49800000,-0.187,-0.7009,0.999137,0.350832,0.686763,0.999911117042998,0.98533103226123,0.690442123825828
"sp|Q14112|NID2_HUMAN",3924523.049,7057067.213,5060007.445,4490421.539,6640365.666,8753093.339,0.203,0.6987,0.79183,0.132129,0.813242,0.794016139881981,0.780426435431567,0.815369970845394
"sp|P29401|TKT_HUMAN",3274434.236,2491806.547,6504470.561,1896639.76,7595952.733,13100000,0.415,0.6961,0.792918,0.132509,0.813258,0.795122243984475,0.781524101043832,0.815385451413543
"sp|P04180|LCAT_HUMAN",23100000,1.2e+07,29400000,12300000,21400000,15600000,-0.249,-0.6881,0.999289,0.349229,0.689227,0.999376406673028,0.984861515018786,0.692879374154305
"sp|P20908|CO5A1_HUMAN",81800000,83200000,52500000,40600000,73800000,63100000,-0.214,-0.6781,0.999465,0.347967,0.691132,0.999668749927771,0.985182878478558,0.694762715856522
"sp|P02766|TTHY_HUMAN",5.38e+09,6.58e+09,8.4e+09,5.54e+09,6.96e+09,4.48e+09,-0.174,-0.6779,0.999468,0.347942,0.69117,0.999673840932125,0.985188559483087,0.69480020588963
"sp|P02671|FIBA_HUMAN",9.83e+09,1.47e+10,8.37e+09,1.41e+10,1.19e+10,1.18e+10,0.156,0.6751,0.80162,0.135598,0.813354,0.80397225034033,0.790307850579811,0.815481543131957
"sp|Q14315|FLNC_HUMAN",504069.1201,831104.2552,745953.4759,870775.0202,624941.7961,290597.0373,-0.236,-0.6742,0.999513,0.347472,0.69187,0.999762675087863,0.985288376345042,0.6954925063746
"sp|O75023|LIRB5_HUMAN",570254.4591,2333305.991,626755.3381,594466.331,223646.9149,1883541.55,-0.557,-0.6698,0.999555,0.346913,0.692699,0.999855099618774,0.985394028345331,0.696312636640636
"sp|Q06033|ITIH3_HUMAN",6.85e+08,6.47e+08,3.5e+08,3.92e+08,4.98e+08,4.26e+08,-0.194,-0.6627,0.999591,0.346007,0.69403,0.99997394705081,0.985534601471316,0.697628732323262
"sp|Q9HCU0|CD248_HUMAN",4416289.707,4528208.908,8275908.672,6337796.042,6928772.958,6603637.944,0.176,0.6616,0.807131,0.137601,0.813389,0.809396717547661,0.795697693572794,0.815516182076159
"sp|P10909|CLUS_HUMAN",2.68e+09,3.61e+09,3.88e+09,2.99e+09,2.57e+09,3.03e+09,-0.151,-0.6404,0.999942,0.343134,0.698152,0.999752477728081,0.985394430941284,0.701701200789048
"sp|P01024|CO3_HUMAN",1.01e+11,8.87e+10,8.89e+10,8.67e+10,8.02e+10,8.1e+10,-0.119,-0.6361,0.999975,0.342576,0.698937,0.999845306885732,0.985498379483632,0.702476667292232
"sp|Q8WZ75|ROBO4_HUMAN",9838353.302,16600000,2674832.618,11100000,12600000,12300000,0.402,0.6343,0.818071,0.141691,0.813395,0.820409255233114,0.806636251516799,0.815520978877688
"sp|P26038|MOES_HUMAN;sp|P15311|EZRI_HUMAN;sp|P35241|RADI_HUMAN",16200000,31100000,32600000,16800000,15600000,32100000,-0.222,-0.62,1,0.340471,0.701847,0.999355836405612,0.985072390997354,0.705350057733796
"sp|P06733|ENOA_HUMAN",2370463.576,21600000,24100000,4274602.849,2624523.938,13100000,-0.658,-0.6178,1,0.340181,0.702241,0.999428727752388,0.985149745113074,0.705739038989904
"sp|P07911|UROM_HUMAN",679469.8769,267214.9086,128562.9474,478769.8668,266205.1811,513612.8575,0.318,0.6102,0.827592,0.145343,0.813327,0.829871932507223,0.81603926875557,0.815451261292045
"sp|P49913|CAMP_HUMAN",1539203.194,1291316.686,892263.3796,834084.1633,1313999.678,4012208.415,0.315,0.6088,0.828138,0.145557,0.813321,0.830415224724153,0.81657921646388,0.815445062336629
"sp|Q92743|HTRA1_HUMAN",1415578.069,833444.1781,592223.0492,812187.2019,554897.5397,959860.1636,-0.199,-0.5947,1,0.337121,0.706328,0.999970912001015,0.985741757295774,0.709774704909218
"sp|P04275|VWF_HUMAN",2.05e+08,2.38e+08,2.46e+08,2.68e+08,2.46e+08,2.55e+08,0.114,0.5711,0.842778,0.151349,0.813066,0.844969409511065,0.831041887936039,0.815186937142516
"sp|P25786|PSA1_HUMAN",2.1e+07,32400000,12700000,16200000,57800000,23700000,0.275,0.5709,0.842854,0.15138,0.813064,0.845044524926667,0.831116565595034,0.815185098334938
"sp|Q9UGM5|FETUB_HUMAN",30600000,22900000,22700000,12900000,39100000,1.6e+07,-0.228,-0.5707,1,0.333896,0.710475,0.999782020962954,0.985619339891773,0.713868652619021
"sp|Q15166|PON3_HUMAN",1.04e+08,54500000,42400000,73300000,40700000,42900000,-0.2,-0.5698,1,0.333774,0.710629,0.999802054189749,0.985640972674223,0.714020343480585
"sp|P48740|MASP1_HUMAN",22500000,13700000,20800000,23400000,1.4e+07,34800000,0.187,0.5599,0.847104,0.153087,0.812956,0.849440847815886,0.835479817289165,0.815075855830937
"sp|P05160|F13B_HUMAN",60800000,1.01e+08,1.02e+08,92700000,1.14e+08,92200000,0.161,0.5574,0.848076,0.153476,0.812929,0.850384515184884,0.836417685027344,0.815048813749569
"sp|P00740|FA9_HUMAN",54300000,89300000,38300000,3.5e+07,66600000,40700000,-0.206,-0.5481,1,0.330818,0.71429,0.999466591892121,0.985364252174252,0.717634936531845
"sp|Q13421|MSLN_HUMAN",12500000,17200000,23600000,21200000,17200000,7884675.877,-0.218,-0.5355,1,0.329084,0.71638,0.999805068817553,0.985719425495617,0.719698015378788
"sp|P24821|TENA_HUMAN",56800000,46900000,58800000,39600000,49600000,56300000,-0.109,-0.528,1,0.328047,0.71761,0.999947712158957,0.985872811142668,0.720913931606212
"sp|P13796|PLSL_HUMAN",61500000,56200000,8.1e+07,71500000,53600000,1.32e+08,0.165,0.5219,0.861717,0.159039,0.812461,0.863935224136812,0.849877173616123,0.814577617539479
"sp|P05156|CFAI_HUMAN",1.47e+09,1.71e+09,1.32e+09,1.23e+09,1.57e+09,1.27e+09,-0.108,-0.5218,1,0.327186,0.718621,0.999189773929582,0.985147733674898,0.721911515521311
"sp|P09486|SPRC_HUMAN",1.66e+08,1.23e+08,83600000,66500000,1.18e+08,1.22e+08,-0.176,-0.5163,1,0.32642,0.719512,0.999387596925606,0.985350039409504,0.72279080879129
"sp|P01833|PIGR_HUMAN",38100000,29900000,1.41e+08,61700000,73200000,69900000,0.253,0.5112,0.865826,0.16073,0.812287,0.867879159087326,0.853796650726829,0.814402652710627
"sp|O14791|APOL1_HUMAN",84200000,63100000,2.9e+07,5.1e+07,63500000,30100000,-0.226,-0.5059,1,0.324964,0.721184,0.999696702938886,0.985668520751701,0.724440950823862
"Int_P02741ups|CRP_HUMAN_UPS",5263892.198,6534.5981,58278.1803,725171.283,273694.1278,228992.4795,0.977,0.4931,0.872729,0.163604,0.811956,0.874912543173966,0.860775402471477,0.814071630666529
"sp|Q86YZ3|HORN_HUMAN",1241418.421,348478.7678,88400.0933,222494.5554,718612.8376,964257.3351,0.46,0.4912,0.873467,0.163907,0.811919,0.875614546758806,0.861472717619147,0.814034170350675
"sp|P07996|TSP1_HUMAN",76100000,82500000,65800000,42200000,79700000,85200000,-0.142,-0.4888,1,0.322554,0.723893,0.999143442924702,0.985157606324301,0.727117066743185
"sp|Q8WWA0|ITLN1_HUMAN",595143.9121,43952.9046,324353.2842,4273495.138,6951.1043,2776353.865,0.906,0.4839,0.876285,0.165072,0.811771,0.878295342672198,0.864135805018631,0.813885620543589
"sp|P04220|MUCB_HUMAN",42400000,330236.6574,464551.0395,2896589.842,348856.8972,168810.2184,-1.048,-0.4789,1,0.321149,0.72544,0.999492751799227,0.985511315160935,0.728643764894072
"sp|O75874|IDHC_HUMAN",658946.8717,529409.8308,1199867.557,795654.8242,770824.9281,1132618.698,0.147,0.4729,0.880483,0.166832,0.811533,0.882285293359763,0.86809998952571,0.813647925064414
"sp|P69891|HBG1_HUMAN",10600000,5751045.41,6.12e+08,1.46e+08,4942784.706,7188478.631,-0.66,-0.4724,1,0.320222,0.726448,0.999679980486279,0.9857020184135,0.729638278282726
"sp|P00488|F13A_HUMAN",8611778.017,2.3e+07,17500000,20600000,16800000,17200000,0.157,0.446,0.890781,0.171164,0.810878,0.892498212239924,0.878231993973008,0.812993729363756
"sp|Q9BUN1|MENT_HUMAN",2341566.496,1590480.337,2565650.054,1471294.74,2865566.7,3279523.874,0.134,0.431,0.896444,0.173594,0.810466,0.897841229431182,0.883538915522599,0.812583545111103
"sp|P18065|IBP2_HUMAN",1.11e+08,1.34e+08,1.41e+08,8.8e+07,1.93e+08,2.27e+08,0.19,0.4286,0.897356,0.173984,0.810397,0.899168876840383,0.884845701050037,0.812514819821501
"sp|RETBP_HUMAN|",7.12e+08,7.87e+08,1.12e+09,8.12e+08,1.36e+09,8.33e+08,0.116,0.4237,0.899247,0.174781,0.810253,0.900950196449659,0.886613679080271,0.812371598725473
"sp|P69892|HBG2_HUMAN;sp|P02100|HBE_HUMAN",10600000,5748966.894,6.11e+08,1.46e+08,5213199.736,8086765.129,-0.615,-0.4191,1,0.312507,0.734455,0.999198606373719,0.985287492222545,0.737545291540715
"sp|P37837|TALDO_HUMAN",2601290.06,3353283.453,5918878.126,2376993.623,1990885.064,6124767.871,-0.211,-0.4172,1,0.312228,0.734733,0.999269725186986,0.985357974756047,0.737818885061779
"sp|O75636|FCN3_HUMAN",2479730.8,2866051.071,4072870.53,3041653.965,4292104.067,3144023.893,0.105,0.4153,0.90246,0.176149,0.809999,0.903974273823525,0.889615420472172,0.812117768608354
"sp|P05154|IPSP_HUMAN",21200000,39800000,30800000,25900000,34100000,21100000,-0.123,-0.4105,1,0.311244,0.735707,0.999497629012557,0.985583953671105,0.738779694322474
"sp|P00338|LDHA_HUMAN",6e+07,64300000,94600000,59700000,7.8e+07,1.09e+08,0.118,0.4086,0.904996,0.177243,0.809787,0.906359258992994,0.891983076836114,0.811907794951177
"sp|Q24JP5|T132A_HUMAN",70221.3111,484.8717,3479.8079,2383.0113,481419.1668,923.2065,0.65,0.4008,0.907918,0.178518,0.809533,0.909105209815759,0.894709400597152,0.811654962699009
"sp|P35542|SAA4_HUMAN",5.02e+08,6.79e+08,1.13e+08,2.28e+08,2.72e+08,2.91e+08,-0.228,-0.3958,1,0.309071,0.737819,0.99987263074378,0.985956473404776,0.740865555182415
"sp|P35442|TSP2_HUMAN",14800000,12900000,6382260.524,12800000,1.1e+07,14200000,0.132,0.3925,0.911029,0.179879,0.809252,0.91245845821606,0.898027736328985,0.811375766212492
"sp|P25311|ZA2G_HUMAN",5.78e+09,6.77e+09,6.13e+09,5.85e+09,9.13e+09,5.58e+09,0.086,0.3869,0.913149,0.180798,0.809056,0.914454669202583,0.900008468375848,0.811181196108664
"sp|P55103|INHBC_HUMAN",817517.4844,145865.5509,182921.8455,224855.7911,399709.6625,392115.8906,0.215,0.3853,0.913751,0.181061,0.808999,0.915021835058111,0.90057126822456,0.811124719709245
"sp|Q13232|NDK3_HUMAN",105008.2148,38990.0799,87244.0762,8159.3226,25295.5246,419886.2128,-0.609,-0.3769,0.999941,0.306257,0.740486,0.999664461984102,0.985760723110747,0.743499611151363
"sp|P07195|LDHB_HUMAN;sp|P07864|LDHC_HUMAN;sp|Q9BYZ2|LDH6B_HUMAN",64300000,66500000,97200000,60600000,82500000,1.13e+08,0.104,0.3735,0.918151,0.183003,0.808567,0.919160651169656,0.904678664291049,0.810696080958138
"sp|P05090|APOD_HUMAN",2.05e+09,1.3e+09,2.01e+09,2.12e+09,1.61e+09,2.09e+09,0.096,0.3692,0.919736,0.183712,0.808404,0.920649430328604,0.906156336197318,0.810534582751255
"sp|P07360|CO8G_HUMAN",6.58e+08,8.96e+08,6.91e+08,6.01e+08,7.94e+08,6.65e+08,-0.083,-0.3672,0.999809,0.304804,0.741834,0.999857675763456,0.985950505210767,0.74483141866397
"sp|P09960|LKHA4_HUMAN",1253749.037,2056887.314,1865578.103,1112647.942,2459834.176,2602690.059,0.115,0.3666,0.920688,0.184142,0.808304,0.921544544342307,0.907044823266696,0.810435562238378
"sp|GSTP1_HUMAN|",447571.255,11800000,4411731.274,3561986.62,1079883.249,2762718.782,-0.316,-0.3591,0.999641,0.303585,0.742949,0.999961647552191,0.986052409115806,0.745933264455297
"sp|P18206|VINC_HUMAN",8053179.876,7771039.751,9395285.467,4775427.692,13700000,15100000,0.141,0.357,0.924211,0.185728,0.807926,0.92521115980836,0.910675242717503,0.810060763527395
"sp|Q8IUX7|AEBP1_HUMAN;sp|Q8N436|CPXM2_HUMAN",13400000,6388397.021,4770990.155,8598684.532,7365656.476,9334900.761,0.131,0.3515,0.926229,0.186639,0.807702,0.927118322453364,0.912567385376127,0.809839398387122
"sp|CAH1_HUMAN|",14400000,6131296.172,85900000,69400000,13400000,19300000,0.296,0.35,0.926777,0.186887,0.807641,0.927635436739008,0.913080456049423,0.80977819898022
"sp|P12109|CO6A1_HUMAN",1.59e+08,1.66e+08,1.06e+08,1.28e+08,1.27e+08,2.21e+08,0.104,0.3431,0.929278,0.188032,0.807352,0.929997385796506,0.915424096483172,0.809492123701017
"sp|PPIA_HUMAN|;sp|Q9Y536|PAL4A_HUMAN",1229391.323,8510412.324,6511485.679,4292185.574,3786658.872,6945386.543,0.215,0.3389,0.930787,0.188729,0.807172,0.931421526585935,0.916837328350266,0.809314330553283
"sp|P13797|PLST_HUMAN",24564.3877,244121.2669,44896.3503,0,110067.2147,68055.4275,-0.335,-0.3314,0.999343,0.299386,0.746686,0.999569108345006,0.985668049761934,0.749627656412373
"sp|P16152|CBR1_HUMAN",263401.8758,97960.3772,849167.247,28940.1173,434552.1355,534362.791,-0.381,-0.3258,0.999238,0.298531,0.747427,0.999660177674818,0.985755047203084,0.75036169058833
"sp|P30740|ILEU_HUMAN",585099.2239,1538612.117,2361630.409,932892.535,1223528.762,3052031.582,0.157,0.3128,0.939983,0.193076,0.805991,0.940373165869331,0.9257148270409,0.808147166532272
"sp|P12277|KCRB_HUMAN",1063.7017,2970.2747,316622.6209,12090.6509,289.8091,15752.4865,-0.748,-0.3067,0.999119,0.295601,0.749922,0.999119003070305,0.985220941364476,0.752829556906777
"sp|P02679|FIBG_HUMAN",2.56e+10,3.87e+10,3.35e+10,4.11e+10,3.09e+10,2.13e+10,-0.092,-0.2983,0.999056,0.294305,0.751004,0.999349495323049,0.985440336112352,0.753899360221054
"sp|Q76LX8|ATS13_HUMAN",1447478.415,3533795.554,919911.6341,6484857.03,954141.3726,1871597.849,0.229,0.2957,0.945812,0.195935,0.805156,0.94591454391484,0.931214585030208,0.807323583009894
"sp|P07237|PDIA1_HUMAN",251998.1067,1834081.73,1272527.372,1053315.934,411006.4176,969681.1795,-0.196,-0.2842,0.998882,0.29212,0.752795,0.9985751450888,0.984677722767038,0.755673640888801
"sp|P02794|FRIH_HUMAN",3760103.927,2263269.861,7278912.312,4845022.764,1952866.107,4499663.869,-0.127,-0.2818,0.998907,0.291747,0.753098,0.998680522056851,0.984778325468791,0.755972452943317
"sp|TRFL_HUMAN|",10600000,10100000,3.4e+07,11200000,8179175.412,25700000,-0.166,-0.2806,0.998919,0.291561,0.753249,0.998731518761065,0.984826957740938,0.756121603363524
"sp|P80188|NGAL_HUMAN",2.07e+08,60900000,2.49e+08,61700000,2.3e+08,1.68e+08,-0.166,-0.2541,0.998873,0.287417,0.756531,0.999569910109475,0.985617007909562,0.759370435033585
"sp|P02655|APOC2_HUMAN",5.41e+08,2.62e+08,1.31e+08,3.43e+08,1.42e+08,2.4e+08,-0.14,-0.2474,0.998925,0.286364,0.757346,0.998932105503767,0.984989304447189,0.760176740067578
"sp|Q12884|SEPR_HUMAN",115392.479,53730.1153,18912.9622,27256.1778,374929.7862,26731.5405,0.267,0.2412,0.962943,0.205099,0.802178,0.962517379676925,0.947700330950255,0.804390329903811
"sp|P12111|CO6A3_HUMAN",3.47e+08,3.45e+08,4.06e+08,3.35e+08,4.42e+08,3.8e+08,0.051,0.2399,0.963322,0.205319,0.802101,0.962888003018112,0.948068612937018,0.804314631848691
"sp|P01605|KV113_HUMAN",108856.3781,243657.4902,157846.8683,53242.0188,9540.0325,2112779.384,-0.349,-0.2319,0.99909,0.283916,0.759209,0.999483139697477,0.985505612244167,0.762020562973137
"sp|ALBU_BOVIN|",26700000,28900000,12700000,26600000,20600000,11900000,-0.102,-0.2304,0.999096,0.283678,0.759388,0.999526538695183,0.985545782329755,0.762197473261607
"sp|P02675|FIBB_HUMAN",2.45e+10,3.8e+10,3.14e+10,3.26e+10,3.38e+10,2.25e+10,-0.056,-0.2284,0.999101,0.283361,0.759626,0.999581677449744,0.985596652130561,0.76243292672824
"sp|Q92496|FHR4_HUMAN;sp|Q02985|FHR3_HUMAN",32900000,41800000,6374191.013,9351799.373,17900000,36500000,-0.163,-0.2206,0.99909,0.282123,0.760548,0.999766936100184,0.985765658523086,0.763346478926576
"sp|Q9BUD6|SPON2_HUMAN",5342290.011,5354173.657,9334824.076,6450098.506,5415266.324,9402692.633,0.067,0.2144,0.970404,0.209628,0.800538,0.969668585168133,0.954814973040537,0.802777038483708
"sp|P78417|GSTO1_HUMAN",507850.5458,373257.555,389497.4431,881983.4666,474604.6403,113505.3973,-0.131,-0.2123,0.999209,0.280802,0.761521,0.99930535236423,0.985304360680893,0.76430938627431
"sp|HBB_HUMAN|",1.81e+08,2.17e+08,6.62e+09,3.49e+09,1.06e+08,2.34e+08,-0.277,-0.2118,0.999221,0.280722,0.761579,0.999322920687439,0.985320659616128,0.764367107892684
"sp|P02042|HBD_HUMAN",14100000,11100000,6.32e+08,1.68e+08,15400000,10600000,-0.28,-0.1995,0.999435,0.278757,0.763005,0.999694265054971,0.985661572470911,0.765777944218877
"sp|P32119|PRDX2_HUMAN",666425.9923,3920580.439,25900000,6392586.167,1717156.084,2596256.885,-0.211,-0.1932,0.999499,0.277747,0.763729,0.999839163569928,0.985791478116771,0.766493643273994
"sp|Q96RW7|HMCN1_HUMAN",57372.9223,0,131755.9205,11656.9852,47557.395,118923.1182,0.196,0.177,0.97953,0.215966,0.79806,0.978529672460806,0.963647327244987,0.800342385082329
"sp|P08185|CBG_HUMAN",1.16e+09,1.18e+09,7.66e+08,8.75e+08,9.78e+08,1.06e+09,-0.043,-0.1754,0.999732,0.274884,0.765746,0.999408773142951,0.98533975872572,0.768488459017134
"sp|HBA_HUMAN|;sp|P69905|HBA_HUMAN",1.18e+08,1.35e+08,4.97e+09,2.52e+09,69200000,1.34e+08,-0.238,-0.1753,0.999734,0.274868,0.765757,0.999412046781348,0.985342743459982,0.768499553641171
"sp|Q01459|DIAC_HUMAN",3192421.406,3127282.991,3310985.7,6892345.991,1808404.502,3127518.219,0.068,0.1721,0.980609,0.216798,0.797719,0.979633194378451,0.964747783945853,0.800007898757671
"sp|Q13308|PTK7_HUMAN",1920170.849,2763493.823,2584338.772,2232076.366,3012072.392,1718969.537,-0.041,-0.1582,0.999968,0.272102,0.76766,0.999859422250674,0.98574215647246,0.770380008860797
"sp|Q9HCB6|SPON1_HUMAN",5948171.683,11500000,13300000,10500000,9885437.739,10500000,0.048,0.1578,0.983659,0.219225,0.796705,0.982758270550659,0.967865392676438,0.799010825204645
"sp|Q03591|FHR1_HUMAN",2.59e+08,1.51e+08,96300000,1.53e+08,1.55e+08,1.35e+08,-0.053,-0.1553,0.999985,0.271631,0.767979,0.999913115211057,0.985788000564795,0.770695548317184
"sp|P43251|BTD_HUMAN",61100000,85600000,65800000,6.9e+07,74800000,70400000,0.033,0.1497,0.985199,0.2206,0.796117,0.983959166611114,0.969078223727093,0.798433893131801
"sp|O00468|AGRIN_HUMAN",4491318.774,2612559.338,3258612.548,2043835.803,5752063.098,2894809.858,-0.054,-0.1468,1,0.27025,0.768908,0.999228228875512,0.985103200209207,0.771614073044062
"sp|Q8NBP7|PCSK9_HUMAN",159200.1615,318009.5602,299613.0481,223539.5558,1751565.995,56106.3359,0.136,0.1455,0.985973,0.221313,0.795808,0.984774706902627,0.969893881349405,0.798130955022973
"sp|P00352|AL1A1_HUMAN",692624.4889,279522.4404,270185.1624,236526.2744,798214.3294,217807.273,-0.071,-0.1427,1,0.269583,0.769354,0.999371411672194,0.985232841902434,0.772053678815855
"sp|P21333|FLNA_HUMAN",461917.475,1453566.916,2450990.888,333333.1235,1025268.734,3650137.921,-0.124,-0.1414,1,0.269371,0.769495,0.999414164758243,0.985271334305179,0.772192689342207
"sp|P31146|COR1A_HUMAN",38059.4117,202685.3292,789368.1888,141629.6427,0,2279983.448,-0.201,-0.1383,1,0.268866,0.76983,0.999510971407784,0.985358044791252,0.77252343718966
"sp|P27797|CALR_HUMAN",1269939.764,1587924.418,712444.3179,33123.8603,3570418.91,4375628.906,-0.176,-0.1289,1,0.267331,0.770839,0.999760196561666,0.9855772081772,0.773519890258144
"sp|P06276|CHLE_HUMAN",39900000,38300000,45400000,35300000,37800000,46100000,-0.023,-0.1213,1,0.266088,0.771647,0.999912949237597,0.985706265698642,0.774318279460007
"sp|P02760|AMBP_HUMAN",4.45e+09,4e+09,5.7e+09,5.36e+09,4.25e+09,4.12e+09,-0.027,-0.1205,1,0.265956,0.771731,0.999926492289399,0.985717346378718,0.774401936306138
"sp|P13611|CSPG2_HUMAN",53700000,52500000,35900000,30600000,49100000,62700000,-0.038,-0.1159,1,0.265202,0.772216,0.999994988800632,0.98577180232611,0.774881525119205
"sp|P01031|CO5_HUMAN",7.39e+08,8.02e+08,9.1e+08,9.73e+08,8.33e+08,7.4e+08,0.024,0.1131,0.991355,0.226815,0.793342,0.990053911635492,0.975197914889637,0.795709050793962
"sp|O95633|FSTL3_HUMAN",1757101.696,1608010.167,99546.7166,4439521.477,8817937.114,15957.9115,0.192,0.1123,0.991469,0.226951,0.79328,0.990178628712647,0.975323268325034,0.795647451562073
"sp|P01011|AACT_HUMAN",3.94e+10,3.82e+10,2.66e+10,2.49e+10,4.96e+10,3.51e+10,0.027,0.0981,0.993417,0.229361,0.792151,0.992315658034871,0.97747270461901,0.794538992284752
"sp|O00187|MASP2_HUMAN",9191033.026,7058935.018,1.3e+07,4816041.826,10700000,15800000,-0.036,-0.087,1,0.260445,0.775209,0.999918058629558,0.985615322863368,0.777836832253747
"sp|Q9NRN5|OLFL3_HUMAN",1786804.544,4201206.417,2507405.513,1828311.911,2869965.289,3414583.598,-0.028,-0.0817,1,0.259569,0.775747,0.99999664886157,0.985675622582242,0.778368923616164
"sp|ALDOA_RABIT|",54600000,61200000,33600000,14100000,1.12e+08,89500000,0.054,0.0811,0.995444,0.232244,0.790765,0.994134270088149,0.979325138504494,0.793176663065347
"sp|P02765|FETUA_HUMAN",8.52e+09,1.11e+10,7.24e+09,8e+09,8.8e+09,8.88e+09,-0.018,-0.0791,1,0.259139,0.77601,0.999237402194474,0.984929970996955,0.778628355300065
"sp|P01596|KV104_HUMAN",57993.961,0,38714.4485,0,2060.3118,1378287.466,0.226,0.0675,0.996809,0.234549,0.789628,0.995699021589456,0.980911313544671,0.792059972950263
"sp|Q99497|PARK7_HUMAN",834322.2698,1637206.343,5082303.719,2272961.666,1034649.339,3266359.21,-0.034,-0.057,1,0.255473,0.778215,0.999846162027516,0.98545017984031,0.780805328102937
"sp|P28066|PSA5_HUMAN",0,0,148827.0098,0,12901.1809,43658.3754,0.056,0.0406,0.998915,0.2391,0.787312,0.997861642696591,0.983137458915939,0.789781824067715
"sp|CAH2_HUMAN|",754371.1175,1189059.413,7786788.75,2065193.313,1731538.842,1745571.465,0.027,0.0404,0.998927,0.239134,0.787294,0.997877507295736,0.983153770316577,0.78976455206685
"sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN",2.15e+10,1.78e+10,2.31e+10,2.01e+10,1.91e+10,2.44e+10,0.009,0.0386,0.999037,0.239438,0.787136,0.998018968500891,0.983299270347754,0.789608874255762
"sp|Q12841|FSTL1_HUMAN",4.06e+08,2.62e+08,3.06e+08,3.63e+08,2.77e+08,3.19e+08,-0.008,-0.033,1,0.251472,0.780547,1,0.985682550607942,0.783110344023659
"sp|P06681|CO2_HUMAN",1.17e+09,1.16e+09,8.76e+08,1.16e+09,1.02e+09,9.83e+08,0.005,0.0246,0.999814,0.241801,0.785891,0.999037989467184,0.984350784298239,0.788384074377788
"sp|P37802|TAGL2_HUMAN",2802494.851,4496750.989,3965110.058,5356009.432,2715379.574,3209512.23,-0.008,-0.018,1,0.248963,0.781973,1,0.985524502318664,0.784518829304461
