"","Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S0.6","S1","S1.1","S1.2","S1.3","S1.4","S1.5","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"1977","sp|P53999|TCP4_HUMAN",17563.7611,24478.6772,38833.3141,82463.93,104607.8984,132392.966,65107.4181,299028.6658,265316.1394,658651.5679,362066.5067,584865.9236,533178.4107,1.389,4.1771,0.012401,0.001572,0.360502,0.0179030810431914,0.0176865865747143,0.372416327480334
"1978","sp|O75351|VPS4B_HUMAN",19461.0255,38130.1357,40757.889,1781.2318,93773.6647,70544.7862,6960.1746,66074.3772,64474.2211,88717.4616,86105.5209,108276.4696,78716.8669,0.427,0.9367,1,0.452166,0.231686,0.999880031668727,0.995576988987998,0.24114541620644
"1979","sp|Q9Y3A5|SBDS_HUMAN",255027.6007,264560.3161,282225.7098,267649.0866,294344.8528,354505.7782,47168.3533,193034.3326,270408.4646,325962.2824,482210.3711,259521.6085,226450.8311,-0.406,-1.5737,0.01596,0.441858,0.00188,0.0215105028372109,0.0213949614271724,0.00269437727858406
"1980","sp|P33992|MCM5_HUMAN",11050.1522,5401.0015,7827.4516,5431.644,27419.4558,18013.1647,7936.0601,195287.3674,140549.4599,292380.8752,218126.7511,112144.6433,102306.2857,1.944,6.7184,0,0,0.332872,3.89694117713843e-07,3.71912063484873e-07,0.343943672887972
"1981","sp|O43396|TXNL1_HUMAN",42687.9587,31238.2288,47132.0972,56680.223,72922.3821,87858.6318,11992.6303,120272.0511,109093.6101,218357.6608,222160.2336,311655.666,331488.4647,0.777,3.5941,0.057261,0.009338,0.373362,0.0729220270577268,0.072306678562502,0.385342048403183
"1982","sp|Q96FQ6|S10AG_HUMAN",30116.9599,28573.5843,19552.7181,13246.9358,26636.2944,19588.0974,11463.8228,125013.2118,137561.7521,50660.3522,51459.0674,48846.4762,54746.7698,0.386,1.588,0.97541,0.305785,0.334844,0.979962353302927,0.975463127338944,0.342994027513009
"1983","sp|P07476|INVO_HUMAN",10560.0107,5449.7337,8986.5469,8369.7836,5375.0813,4431.4455,7508.7195,139923.2313,134016.3977,17330.6084,8789.1174,194413.2134,189491.13,1.381,2.4401,0.502084,0.109694,0.391017,0.534919113668105,0.531879016686341,0.400768224626053
"1984","sp|Q9UI09|NDUAC_HUMAN",67056.1521,82562.5706,43955.3403,58420.3546,69930.5742,41116.1621,54147.9208,60213.9512,72754.8147,214517.7715,182097.8718,165422.5515,192944.708,0.112,0.3827,0.774723,0.52125,0.131438,0.79144707431413,0.787820055224864,0.141280640210759
"1985","sp|Q09161|NCBP1_HUMAN",65682.2094,62165.4012,104856.9671,65749.4747,127544.3881,107752.8487,31898.6935,361775.0843,465858.0769,244248.7341,310442.7355,246942.5931,230431.7704,0.73,4.0836,0.016547,0.002149,0.362291,0.0233403172855962,0.0230699841900998,0.374237879824944
"1986","sp|Q9H0W9|CK054_HUMAN",98818.3978,84381.7823,121835.2953,87841.851,80702.1012,97351.1846,51716.0826,54551.5636,23401.7593,16508.6504,20298.474,57800.1182,84617.1641,-1.638,-6.5759,0,0.333398,0,6.1304642724041e-14,5.81879856182667e-14,3.16915613654528e-15
"1987","sp|P38571|LICH_HUMAN",2370297.573,3507042.4372,181600.2462,171610.2847,172509.1171,224993.884,153555.8724,1004864.9942,889333.6137,137843.848,238694.9452,284227.231,231170.06,-0.691,-1.1553,0.055266,0.469792,0.006376,0.0681057211439485,0.0677429988154,0.00838672705870631
"1988","sp|A0FGR8|ESYT2_HUMAN",45478.8593,51975.4729,74134.9002,73858.2278,119811.4178,98030.047,41284.1026,116198.7716,122774.9493,270088.1845,249923.0466,126794.96,174641.5879,0.201,0.9463,1,0.45045,0.233447,0.999995315622421,0.995700497888973,0.242883437256361
"1989","sp|Q9Y263|PLAP_HUMAN",87456.4588,138236.1349,77709.9128,74702.5374,114707.7289,105386.9677,87518.8801,179370.2291,176871.5371,183440.1032,228612.5504,136771.5657,110073.9081,-0.141,-0.6535,0.165369,0.503679,0.022008,0.188009542112028,0.187122418275438,0.0265789231240962
"1990","sp|Q01581|HMCS1_HUMAN",60009.2255,125581.2996,64829.2593,55053.8174,88080.6431,100192.148,18340.664,190232.9978,195889.5637,185574.3961,123180.9944,129066.5398,118243.972,0.147,0.7398,0.97581,0.484022,0.195016,0.978496163607034,0.9740921064625,0.204874441581621
"1991","sp|P62847|RS24_HUMAN",142909.7264,131817.5024,300404.4625,299455.1903,237288.268,233006.7206,185420.7202,397627.3321,504653.631,371108.6545,383897.4619,1350508.9354,1476264.7315,0.558,1.9896,0.772078,0.204347,0.373055,0.793410927165544,0.789485201138391,0.381535852206434
"1992","sp|P98171|RHG04_HUMAN",13942.7606,19160.2556,31937.0573,31167.7015,112030.7319,110742.8475,12694.2616,104893.6555,107703.8679,169952.9405,206038.0442,103350.578,115944.503,0.552,1.7583,0.896689,0.261864,0.353898,0.908631520132495,0.904358647886526,0.362053416097621
"1993","sp|Q16512|PKN1_HUMAN",40990.8825,22809.9007,29246.6688,18732.6263,96247.0665,119963.1323,8015.889,77667.0554,74139.129,91403.338,90077.4792,82327.2277,71414.4757,0.028,0.1193,0.604009,0.532042,0.091455,0.62807230893241,0.625109585547839,0.100526399622985
"1994","sp|Q9BQA1|MEP50_HUMAN",296793.221,299169.0891,168920.7061,107464.4922,328793.9532,272869.0301,87170.1754,586968.8714,439136.5814,403875.3819,385273.0748,423796.3912,393384.7173,0.199,1.1581,0.999872,0.408879,0.270956,0.999892477978418,0.995689727483823,0.279859195774547
"1995","sp|P21283|VATC1_HUMAN",157997.7136,270136.7194,132384.7942,86802.898,267868.6868,216197.4987,47575.0849,366328.4423,377808.4338,250446.1168,266344.9329,246838.259,261082.7191,0.094,0.434,0.805467,0.517601,0.140035,0.820639051676817,0.81689892308267,0.149951047987157
"1996","sp|O95140|MFN2_HUMAN",271703.7941,299678.5783,446447.5673,516844.7392,1334738.7799,1168183.155,229668.9262,257073.4318,297298.3404,990398.4272,1309542.3839,322720.8023,306836.296,-0.588,-1.5781,0.015759,0.441577,0.001854,0.0212565220363829,0.0211421901322412,0.00266019290019835
"1997","sp|P29353|SHC1_HUMAN",0,5634.4025,108.0453,1848.3122,8945.0009,14654.3875,931.8027,119737.5556,187235.6743,78887.3724,78570.5011,38139.3934,43318.61,3.743,2.9995,0.207393,0.039458,0.387101,0.237512225866714,0.235924906240556,0.3984331591359
"1998","sp|Q12874|SF3A3_HUMAN",245847.8662,264518.6603,175934.2131,154587.1171,268772.962,283206.8406,182500.0639,494296.0914,501566.995,421596.3426,344052.5459,399247.273,581921.2143,0.152,1.1756,0.999996,0.405136,0.273912,0.999971772622499,0.995766521955926,0.282772036073144
"1999","sp|P0CAP1|MYZAP_HUMAN",11897.9139,5147.9477,78910.0107,50328.1544,158726.1048,107999.6098,10498.7709,887.5665,1150.5164,5926.0117,1911.9133,5441.0715,4245.9396,-3.659,-7.0995,0,0.331743,0,6.71850687749701e-16,6.3396697405661e-16,3.63895096668433e-17
"2000","sp|Q10570|CPSF1_HUMAN",8730.044,12952.2705,4541.3403,6192.1042,10197.3012,9852.0385,1038.7872,34065.4254,33689.1357,7187.3713,12104.9661,87297.9274,84599.3705,0.598,1.6448,0.952555,0.291102,0.341663,0.959469473984534,0.95502675521243,0.34979124916051
"2001","sp|P22090|RS4Y1_HUMAN",2872.2038,19197.4884,6478.2528,0,11737.4172,38007.9269,5065.2891,1888.0243,66.8247,45775.0204,47120.9022,49122.8149,43474.6617,-0.077,-0.0658,0.47202,0.532302,0.068256,0.498897599987308,0.496547618641872,0.0764388501001524
"2002","sp|Q9H0Q0|FA49A_HUMAN",18760.1304,17593.6344,11823.0702,16359.1483,3425.9039,11093.6024,975.0205,13341.002,2700.9814,10307.0732,54174.842,18433.019,8625.3644,-0.695,-1.4177,0.025442,0.452155,0.003021,0.0331314703362885,0.0329576377869215,0.00418761664020221
"2003","sp|B2MG_HUMAN|",724399.4383,413954.008,609463.6292,586615.3597,1166610.6035,1325751.3309,206400.6566,1075452.5535,1101598.2387,1071800.8625,907015.6385,1159081.2432,961330.7768,0.017,0.0971,0.588419,0.532377,0.088446,0.612971431438584,0.610076762266501,0.0974240373044279
"2004","sp|P15531|NDKA_HUMAN",32492.8871,33090.8619,18961.8204,16181.0011,20080.4955,9414.9418,28248.0182,49451.9858,49688.0857,25796.6412,18994.7291,17232.1599,15572.1978,-0.752,-1.8232,0.007928,0.427213,0.000833,0.0112599315189719,0.0111906071673396,0.00126448287338599
"2005","sp|P36551|HEM6_HUMAN",142698.8903,92519.9141,77721.9144,71952.4557,153090.3298,138821.0348,10535.5321,234883.1581,222545.7793,270435.2657,251138.116,261174.7213,292520.4456,0.502,2.2812,0.610448,0.139598,0.387285,0.640555883062692,0.63703502131044,0.396541190827531
"2006","sp|Q15113|PCOC1_HUMAN",114078.3936,89593.8881,129921.5802,137761.6758,310510.1976,284487.2247,70769.2388,386490.3391,384344.9287,555321.0834,705831.6308,251921.2743,226114.2583,0.383,1.442,1,0.342994,0.315367,0.999971046912599,0.995557734293337,0.323678744742689
