,Protein,S0,S0.1,S0.2,S0.3,S0.4,S0.5,S0.6,S1,S1.1,S1.2,S1.3,S1.4,S1.5,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
370,sp|P27105|STOM_HUMAN,6112170.965,4974633.477,5164824.648,6311626.892,5602344.37,9935388.279,6429803.978,2535041.852,2451548.518,2109294.254,2216800.569,2038694.392,2124669.543,-0.997,-7.7611,0,0.288655,0
829,sp|Q12955|ANK3_HUMAN,1598312.026,1709112.541,1249713.66,2084496.695,1701740.985,1189006.64,1861771.98,474362.4641,489649.4491,727365.0309,719251.7774,813247.6314,834825.5033,-1.017,-7.7533,0,0.28867,0
1072,sp|P00441|SODC_HUMAN,5387557.235,2944486.697,3233896.81,7097804.951,7061892.26,5246556.21,5414060.167,1596007.546,1339847.907,2058215.148,1573160.026,1174762.985,1411351.742,-1.202,-7.7367,0,0.288704,0
1754,sp|O15020|SPTN2_HUMAN,1606.7106,1726.9867,341.8763,607.6779,3401.6574,1097.0767,1763.0849,22428.6389,19968.7257,14678.623,11317.3118,24268.2899,25951.594,1.972,7.7019,0,0,0.288905
1762,sp|Q96KR1|ZFR_HUMAN,6696.472,4968.4063,5203.0265,9515.2458,12208.1057,2956.4994,3686.6104,57170.9832,37747.1743,36612.8202,45750.7382,47036.2948,26532.0843,1.309,7.6897,0,0,0.288931
609,sp|P63244|GBLP_HUMAN,3010837.867,3915551.214,3418478.398,3387000.287,4084957.316,3157259.714,3013661.534,7237391.973,7813310.713,7499710.542,6224465.073,7382815.235,6610118.968,0.741,7.6869,0,0,0.288937
1998,sp|Q6P1M3|L2GL2_HUMAN,53696.9394,114416.2643,107436.5879,137447.2281,157038.9759,34538.7219,56116.7931,26059.7487,18460.9146,27467.7253,35060.9673,15671.0273,20685.5541,-1.846,-7.5898,0,0.289024,0
544,sp|Q99758|ABCA3_HUMAN,475124.7303,602955.5577,630717.5829,433562.5838,408402.1359,347823.786,459640.6066,213486.3629,194651.4167,184467.1122,226557.1574,240173.2467,202157.2814,-1.039,-7.5811,0,0.289044,0
953,sp|Q96JY6|PDLI2_HUMAN,2616912.631,3156335.774,2785095.341,4561302.55,4273120.346,7205520.362,2221395.799,768584.05,800082.8504,1182993.905,1249705.273,649916.3909,887979.1792,-1.422,-7.5752,0,0.289058,0
738,sp|P00568|KAD1_HUMAN,38502410.23,27989335.7,29720692.24,15016484.97,14915971.98,57494986.17,39324927.18,2944812.429,2888419.69,3964024.17,4435918.934,3349678.157,3640166.185,-2.082,-7.5315,0,0.289159,0
2622,sp|O75636|FCN3_HUMAN,187950.3379,151852.6137,165354.8764,155664.0045,180218.395,142990.6948,127496.3806,22943.7429,31509.3966,59215.2283,51826.8074,11979.0193,31000.8806,-2.079,-7.4525,0,0.289348,0
1862,sp|O95433|AHSA1_HUMAN,64182.8115,64032.4255,37298.4646,101005.9773,81851.1296,46113.7894,52536.2426,266898.0124,311210.6458,239204.3742,234941.9991,192838.7989,201247.4671,1.012,7.4493,0,0,0.289444
1357,sp|O95486|SC24A_HUMAN,57701.6691,66096.3006,65856.2847,88779.5035,90168.5459,31515.3012,58304.9626,208382.012,234073.8733,260382.1516,258668.6385,489081.3627,505596.937,1.23,7.4419,0,0,0.289461
484,sp|P26641|EF1G_HUMAN,783323.3949,844445.8236,887896.1573,1121608.594,1376796.728,947256.5367,791106.5219,3471350.058,3543676.886,2396176.223,2500304.37,3853607.024,4659927.397,1.077,7.4369,0,0,0.289472
1936,sp|P0CAP1|MYZAP_HUMAN,4265.5772,69356.6224,40875.6261,137456.4226,86835.4997,8140.2032,9211.2177,575.0323,812.965,3714.8094,1610.6763,3265.8544,2845.8154,-3.773,-7.4281,0,0.289407,0
825,sp|P13716|HEM2_HUMAN,2537730.975,1079495.859,1040459.641,1343151.874,1184186.342,3531090.05,2359711.488,303146.3951,421827.1474,207068.928,236093.3609,263215.4025,260691.8475,-1.928,-7.4059,0,0.289463,0
332,sp|P43490|NAMPT_HUMAN,817006.569,570547.6427,648301.7004,898677.3005,865523.9051,357067.6453,863797.3129,3315931.596,3203848.964,2097625.34,2085263.545,4553893.966,4885967.383,1.355,7.3896,0,0,0.289582
1196,sp|Q16795|NDUA9_HUMAN,122195.121,151705.2414,128901.183,255470.5252,168968.9789,216497.0859,96649.967,623877.4694,660946.6026,533437.5264,657517.6527,665632.3492,538992.711,1.105,7.3882,0,0,0.289585
218,sp|Q5VTE0|EF1A3_HUMAN,13549542,15025631.01,15490254.03,17854308.05,16364851.41,12048333.57,12328655.4,35670007.97,32702148.68,25649998.76,26708843.29,40963708.71,40439435.35,0.917,7.3205,0,0,0.289752
916,sp|P08195|4F2_HUMAN,186988.9416,151666.3469,139704.2858,274753.2582,257183.6899,124674.0647,184468.4178,587757.7418,651937.5639,460817.8927,460929.5512,687284.0182,752735.7169,0.908,7.2567,0,0,0.289921
338,sp|Q16853|AOC3_HUMAN,1103332.632,2163980.749,1692229.655,2194439.196,2052983.528,3358585.977,1198717.243,319041.1724,333253.2108,750491.8575,712020.1304,434860.545,415101.3688,-1.507,-7.2338,0,0.289931,0
541,sp|Q9NYU2|UGGG1_HUMAN,684842.0354,564509.4358,588807.9607,726034.7049,737200.7296,295047.2012,502645.2005,1400198.9,1405577.987,1531991.709,1662830.345,1638764.815,1615591.936,0.803,7.2313,0,0,0.289992
146,sp|P02774|VTDB_HUMAN,12209313.28,16081793.51,14100376.1,13605107.71,14302325.99,12029266.12,11501267.49,4176244.509,3972875.995,5005650.077,5267931.162,6751301.336,6640577.836,-0.862,-7.2152,0,0.289986,0
105,sp|Q9NZN4|EHD2_HUMAN,7883862.296,13897104.45,12295661.72,17975616.22,18599456.74,5133634.269,7606524.974,1387021.166,1251364.291,2924883.591,3271090.441,1925191.402,2016408.373,-1.675,-7.1826,0,0.290086,0
772,sp|O95810|SDPR_HUMAN,238170.4416,562856.8044,555839.4267,959525.2925,1001956.779,243413.4727,270053.165,91751.9357,54693.5673,156044.5636,152788.1777,105185.0712,99149.5413,-1.782,-7.1728,0,0.290116,0
1285,sp|P27169|PON1_HUMAN,1797582.012,1371424.388,1598816.832,1429963.78,1316921.398,1770744.834,1841476.116,485518.1929,482830.9752,672248.724,861641.8869,707751.7295,705871.4134,-1.026,-7.1691,0,0.290128,0
1422,sp|P49407|ARRB1_HUMAN,911698.941,968529.9536,979377.556,1932553.157,2012050.409,491668.5717,937613.1519,304185.0758,332753.9319,504582.633,509106.0459,227522.0792,301165.2342,-1.322,-7.1597,0,0.290158,0
130,sp|P06744|G6PI_HUMAN,6508797.874,5410016.909,5284949.841,7660637.299,7376262.879,4873051.243,6159275.64,23090633.09,24123802.79,11385916.42,11278705.1,16904169.39,17623931.79,1.05,7.1548,0,0,0.29022
394,sp|P16452|EPB42_HUMAN,3334918.853,2256330.995,1969123.741,975739.1203,1058206.129,7300174.982,3305913.924,192380.221,210702.0173,327522.6615,233796.3427,286199.3032,294864.9632,-2.282,-7.1461,0,0.290201,0
853,sp|O94874|UFL1_HUMAN,253956.6392,256630.2443,271167.0769,345028.7827,363366.6588,136550.802,306508.4704,968056.8434,902864.6583,702600.7372,681574.8032,1098935.04,1242025.244,0.994,7.0952,0,0,0.290415
