"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"3515","BT","Loess-G",0.008,0,1,0,1,159
"3615","BT","Loess-G",0.009,0,1,0,1,161
"396","BT","Loess-G",0.03,0,1,0,1,202
"406","BT","Loess-G",0.04,0,1,0,1,217
"4110","BT","Loess-G",0.05,0,1,0,1,221
"426","BT","Loess-G",0.06,0,1,0,1,232
"436","BT","Loess-G",0.07,0,1,0,1,240
"446","BT","Loess-G",0.08,0,1,0,1,245
"387","BT","VSN-G",0.02,0,0,1,1,347
"437","BT","VSN-G",0.07,0,0,1,1,382
"447","BT","VSN-G",0.08,0,0,1,1,383
"457","BT","VSN-G",0.09,0,0,1,1,390
"467","BT","VSN-G",0.1,0,0,1,1,392
"2917","BT","Quantile",0.002,0,1,0,1,165
"3017","BT","Quantile",0.003,0,1,0,1,174
"389","BT","Quantile",0.02,0,1,0,1,223
"398","BT","Quantile",0.03,0,1,0,1,237
"408","BT","Quantile",0.04,0,1,0,1,245
"4210","BT","Quantile",0.06,0,1,0,1,265
"438","BT","Quantile",0.07,0,1,0,1,271
"1","QM","None",1e-06,0,0,0,0,101
"13","QM","None",4e-05,0,0,0,0,137
"14","QM","None",5e-05,0,0,0,0,139
"15","QM","None",6e-05,0,0,0,0,139
"16","QM","None",7e-05,0,0,0,0,141
"17","QM","None",8e-05,0,0,0,0,141
"18","QM","None",9e-05,0,0,0,0,142
"19","QM","None",1e-04,0,0,0,0,143
"23","QM","None",5e-04,0,0,0,0,166
"24","QM","None",6e-04,0,0,0,0,169
"25","QM","None",7e-04,0,0,0,0,170
"26","QM","None",8e-04,0,0,0,0,173
"27","QM","None",9e-04,0,0,0,0,173
"28","QM","None",0.001,0,0,0,0,176
"29","QM","None",0.002,0,0,0,0,181
"47","QM","AI-G",1e-06,0,0,0,0,0
"48","QM","AI-G",2e-06,0,0,0,0,0
"49","QM","AI-G",3e-06,0,0,0,0,0
"50","QM","AI-G",4e-06,0,0,0,0,0
"51","QM","AI-G",5e-06,0,0,0,0,0
"52","QM","AI-G",6e-06,0,0,0,0,0
"53","QM","AI-G",7e-06,0,0,0,0,0
"54","QM","AI-G",8e-06,0,0,0,0,0
"55","QM","AI-G",9e-06,0,0,0,0,0
"56","QM","AI-G",1e-05,0,0,0,0,0
"57","QM","AI-G",2e-05,0,0,0,0,0
"58","QM","AI-G",3e-05,0,0,0,0,0
"59","QM","AI-G",4e-05,0,0,0,0,0
"60","QM","AI-G",5e-05,0,0,0,0,0
"61","QM","AI-G",6e-05,0,0,0,0,0
"62","QM","AI-G",7e-05,0,0,0,0,0
"63","QM","AI-G",8e-05,0,0,0,0,0
"64","QM","AI-G",9e-05,0,0,0,0,0
"65","QM","AI-G",1e-04,0,0,0,0,0
"66","QM","AI-G",2e-04,0,0,0,0,0
"67","QM","AI-G",3e-04,0,0,0,0,0
"68","QM","AI-G",4e-04,0,0,0,0,0
"69","QM","AI-G",5e-04,0,0,0,0,0
"70","QM","AI-G",6e-04,0,0,0,0,0
"71","QM","AI-G",7e-04,0,0,0,0,0
"72","QM","AI-G",8e-04,0,0,0,0,0
"73","QM","AI-G",9e-04,0,0,0,0,0
"74","QM","AI-G",0.001,0,0,0,0,0
"75","QM","AI-G",0.002,0,0,0,0,0
"76","QM","AI-G",0.003,0,0,0,0,0
"77","QM","AI-G",0.004,0,0,0,0,1
"78","QM","AI-G",0.005,0,0,0,0,1
"79","QM","AI-G",0.006,0,0,0,0,1
"80","QM","AI-G",0.007,0,0,0,0,1
"81","QM","AI-G",0.008,0,0,0,0,1
"82","QM","AI-G",0.009,0,0,0,0,2
"83","QM","AI-G",0.01,0,0,0,0,2
"84","QM","AI-G",0.02,0,0,0,0,2
"85","QM","AI-G",0.03,0,0,0,0,3
"86","QM","AI-G",0.04,0,0,0,0,5
"87","QM","AI-G",0.05,0,0,0,0,7
"88","QM","AI-G",0.06,0,0,0,0,10
"89","QM","AI-G",0.07,0,0,0,0,14
"90","QM","AI-G",0.08,0,0,0,0,14
"91","QM","AI-G",0.09,0,0,0,0,15
"92","QM","AI-G",0.1,0,0,0,0,18
"93","QM","MedI-G",1e-06,0,0,0,0,0
"94","QM","MedI-G",2e-06,0,0,0,0,0
"95","QM","MedI-G",3e-06,0,0,0,0,0
"96","QM","MedI-G",4e-06,0,0,0,0,0
"97","QM","MedI-G",5e-06,0,0,0,0,0
"98","QM","MedI-G",6e-06,0,0,0,0,0
"99","QM","MedI-G",7e-06,0,0,0,0,0
"100","QM","MedI-G",8e-06,0,0,0,0,0
"101","QM","MedI-G",9e-06,0,0,0,0,0
"102","QM","MedI-G",1e-05,0,0,0,0,0
"103","QM","MedI-G",2e-05,0,0,0,0,0
"104","QM","MedI-G",3e-05,0,0,0,0,0
"105","QM","MedI-G",4e-05,0,0,0,0,0
"106","QM","MedI-G",5e-05,0,0,0,0,0
"107","QM","MedI-G",6e-05,0,0,0,0,0
"108","QM","MedI-G",7e-05,0,0,0,0,0
"109","QM","MedI-G",8e-05,0,0,0,0,0
"110","QM","MedI-G",9e-05,0,0,0,0,0
"111","QM","MedI-G",1e-04,0,0,0,0,0
"112","QM","MedI-G",2e-04,0,0,0,0,0
"113","QM","MedI-G",3e-04,0,0,0,0,0
"114","QM","MedI-G",4e-04,0,0,0,0,0
"115","QM","MedI-G",5e-04,0,0,0,0,0
"116","QM","MedI-G",6e-04,0,0,0,0,0
