"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"63","1::P01029","8.047167e+06","8.056131e+06","1.353224e+07","1.112106e+07","1.118311e+07","1.480913e+07","1.357252e+07","0.138421827074629","0.648732490559806"
"64","1::P97290","2.230241e+04","3.444536e+04","4.391875e+04","5.526267e+04","1.428886e+05","4.994195e+04","1.166093e+05","0.138859128414139","0.648732490559806"
"65","1::Q921I1","1.249022e+06","5.196948e+05","8.471756e+05","7.425446e+05","5.184497e+05","3.834397e+05","6.910786e+05","0.146283736423702","0.65058155520773"
"66","1::P32261","8.175669e+08","7.615302e+08","6.964818e+08","6.309209e+08","8.259407e+08","1.383410e+09","1.061080e+09","0.146399151579562","0.65058155520773"
"67","1::P60867","5.321187e+04","2.870530e+04","3.073835e+04","4.824681e+04","1.033524e+04","3.677468e+04","2.158459e+04","0.148686688727829","0.65058155520773"
"68","1::P27784","1.445486e+05","2.831656e+05","3.202553e+05","2.255705e+04","2.595855e+04","6.229727e+04","9.750478e+04","0.149717954116581","0.65058155520773"
"69","1::Q64487","3.111678e+05","4.495353e+05","5.590671e+05","3.564725e+05","4.416313e+05","7.903059e+05","8.507741e+05","0.150134205047938","0.65058155520773"
"70","1::Q8BK62","7.022406e+04","1.122626e+05","1.351866e+05","9.365536e+04","1.092783e+05","2.251475e+05","1.879839e+05","0.160041184900731","0.683604489790266"
"71","1::Q09098","3.954013e+05","2.169956e+04","3.617032e+04","4.429242e+05","1.347312e+04","1.243133e+04","2.791243e+04","0.16587685502549","0.69617801002698"
"72","1::P07724;2::P02769","7.651457e+06","3.595846e+06","5.267956e+06","4.243881e+06","2.027391e+06","3.049962e+06","4.739293e+06","0.168531117924024","0.69617801002698"
"73","1::Q61543","8.066752e+03","2.506637e+04","3.041338e+04","9.762069e+03","2.102569e+04","7.245712e+04","5.227105e+04","0.169969882046721","0.69617801002698"
"74","1::Q8VI78","2.437131e+05","2.102069e+05","2.965096e+05","1.969780e+05","1.199940e+05","2.309318e+05","1.640568e+05","0.175355129425292","0.708529509434627"
"75","1::P42669","2.906108e+05","2.508165e+05","4.001002e+05","2.931927e+05","2.382902e+05","2.868703e+05","1.390923e+05","0.181744299780277","0.724553941790706"
"76","1::Q8K1M6","2.282775e+04","3.699281e+04","2.463710e+04","1.484053e+04","2.393731e+04","5.879640e+04","6.681808e+04","0.188921145605008","0.737724532930628"
"77","1::P97430","2.320503e+06","3.338128e+06","3.430667e+06","2.309494e+06","3.003707e+06","6.231977e+06","4.614137e+06","0.190227882328011","0.737724532930628"
"78","1::Q8BGD9","2.405494e+04","2.349763e+04","2.245007e+04","2.178891e+04","2.220442e+04","5.520922e+04","5.139484e+04","0.194943388832629","0.737724532930628"
"79","1::Q91XQ5","8.390338e+04","1.748261e+05","1.827690e+05","1.435192e+05","1.379545e+05","2.978416e+05","3.180670e+05","0.197591459399192","0.737724532930628"
"80","1::Q61398","9.490987e+05","1.092846e+06","1.294683e+06","1.159142e+06","1.115345e+06","1.429752e+06","1.400449e+06","0.197872250149072","0.737724532930628"
"81","1::P70274","2.929623e+05","3.598453e+05","4.403607e+05","2.674344e+05","4.791958e+05","4.625437e+05","9.348738e+05","0.20117535606506","0.737724532930628"
"82","1::Q64739","9.780654e+03","1.700050e+04","1.917432e+04","1.817877e+04","1.647859e+04","4.211566e+04","3.017695e+04","0.202319102676627","0.737724532930628"
"83","1::O70362","3.115010e+04","3.627695e+04","4.395108e+04","7.434782e+04","1.648640e+05","6.173303e+04","8.110473e+04","0.211709796103471","0.762665410059494"
"84","1::Q07456","1.065451e+08","1.564439e+08","1.620183e+08","1.378063e+08","1.363287e+08","1.997655e+08","1.929274e+08","0.216594332437384","0.770972683318785"
"85","1::Q6YGZ1","1.709521e+04","2.340986e+04","2.135455e+04","1.183484e+04","3.754394e+04","9.192835e+04","2.878734e+04","0.222801266101608","0.783731486866116"
"86","1::Q3UQ28","1.292817e+05","2.383424e+05","1.323388e+05","1.562969e+05","6.249662e+04","1.380400e+05","1.412511e+05","0.227388756949938","0.783731486866116"
"87","1::P06684","2.058804e+05","1.583672e+05","2.491798e+05","3.147058e+05","1.324126e+06","4.889389e+05","3.897528e+05","0.23108248984053","0.783731486866116"
"88","1::P39039","1.117552e+05","1.480417e+05","1.568153e+05","2.108006e+05","1.806955e+05","1.827627e+05","1.995986e+05","0.231304211739281","0.783731486866116"
"89","1::O09164","7.225493e+05","1.176168e+06","1.455832e+06","9.749948e+05","1.024798e+06","1.672457e+06","2.081190e+06","0.234505588879957","0.783731486866116"
"90","1::Q99JY9;1::Q641P0","1.132545e+06","1.126448e+06","1.063927e+06","1.249920e+06","8.138092e+05","1.168263e+06","9.381909e+05","0.237904051663235","0.783731486866116"
"91","1::Q61247","3.209845e+05","3.521002e+05","4.133328e+05","4.350092e+05","3.390977e+05","6.498892e+05","6.867221e+05","0.243796208716889","0.783731486866116"
