"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"57","1::P14869","8.079286e+03","7.627017e+03","8.493183e+03","2.959178e+04","2.586677e+03","2.485326e+03","7.075866e+01","0.116227279113692","0.609683446578842"
"58","1::Q9DD06","9.973478e+05","1.289037e+06","1.364027e+06","1.011983e+06","1.292703e+06","2.095763e+06","1.836218e+06","0.120782945146353","0.622656906875164"
"59","1::P09803","2.759199e+05","2.756085e+05","4.255895e+05","2.438953e+05","2.331813e+05","1.876070e+05","2.394566e+05","0.126755081521106","0.634295601315376"
"60","1::P26928","1.955093e+05","3.847897e+05","4.557372e+05","2.758979e+05","5.265813e+05","3.655868e+05","5.990137e+05","0.127283398257266","0.634295601315376"
"61","1::O88803","5.768256e+04","8.948339e+04","1.521238e+05","9.362583e+04","1.155922e+05","2.586765e+05","2.690135e+05","0.129468122679934","0.634606043955741"
"62","1::P50228","4.842592e+03","1.176367e+04","1.256100e+04","7.171109e-06","8.953956e+03","2.564097e+04","2.225095e+04","0.133201078557444","0.642372943365737"
"63","1::P01029","8.307496e+06","8.316750e+06","1.397001e+07","1.148083e+07","1.154489e+07","1.528821e+07","1.401160e+07","0.138421395810059","0.648732633952425"
"64","1::P97290","2.302390e+04","3.555968e+04","4.533954e+04","5.705044e+04","1.475111e+05","5.155759e+04","1.203816e+05","0.138859159106874","0.648732633952425"
"65","1::Q921I1","1.289428e+06","5.365071e+05","8.745821e+05","7.665662e+05","5.352217e+05","3.958441e+05","7.134353e+05","0.146283700986313","0.650581855597517"
"66","1::P32261","8.440155e+08","7.861660e+08","7.190132e+08","6.513315e+08","8.526602e+08","1.428164e+09","1.095407e+09","0.146399021145855","0.650581855597517"
"67","1::P60867","5.493330e+04","2.963393e+04","3.173274e+04","4.980762e+04","1.066959e+04","3.796435e+04","2.228286e+04","0.148686605595454","0.650581855597517"
"68","1::P27784","1.492248e+05","2.923261e+05","3.306157e+05","2.328678e+04","2.679832e+04","6.431261e+04","1.006591e+05","0.149717960933417","0.650581855597517"
"69","1::Q64487","3.212342e+05","4.640780e+05","5.771532e+05","3.680045e+05","4.559182e+05","8.158726e+05","8.782970e+05","0.150134274368658","0.650581855597517"
"70","1::Q8BK62","7.249583e+04","1.158943e+05","1.395599e+05","9.668515e+04","1.128135e+05","2.324311e+05","1.940653e+05","0.16004105504883","0.683603935137146"
"71","1::Q09098","4.081927e+05","2.240155e+04","3.734044e+04","4.572529e+05","1.390898e+04","1.283349e+04","2.881541e+04","0.165876853862117","0.696178218251948"
"72","1::P07724;2::P02769","7.898985e+06","3.712173e+06","5.438376e+06","4.381172e+06","2.092978e+06","3.148629e+06","4.892611e+06","0.168531132192226","0.696178218251948"
"73","1::Q61543","8.327715e+03","2.587728e+04","3.139727e+04","1.007788e+04","2.170588e+04","7.480114e+04","5.396203e+04","0.169969932884255","0.696178218251948"
"74","1::Q8VI78","2.515973e+05","2.170072e+05","3.061018e+05","2.033503e+05","1.238758e+05","2.384026e+05","1.693641e+05","0.175355447822898","0.708530795933061"
"75","1::P42669","3.000122e+05","2.589305e+05","4.130436e+05","3.026776e+05","2.459989e+05","2.961507e+05","1.435920e+05","0.18174423631317","0.724553688768506"
"76","1::Q8K1M6","2.356624e+04","3.818955e+04","2.543412e+04","1.532062e+04","2.471169e+04","6.069849e+04","6.897967e+04","0.1889211636781","0.7377243351356"
"77","1::P97430","2.395572e+06","3.446118e+06","3.541650e+06","2.384207e+06","3.100878e+06","6.433584e+06","4.763406e+06","0.190227892675005","0.7377243351356"
"78","1::Q8BGD9","2.483313e+04","2.425779e+04","2.317633e+04","2.249379e+04","2.292274e+04","5.699526e+04","5.305748e+04","0.194943404214958","0.7377243351356"
"79","1::Q91XQ5","8.661769e+04","1.804818e+05","1.886816e+05","1.481621e+05","1.424173e+05","3.074769e+05","3.283566e+05","0.197591660468955","0.7377243351356"
"80","1::Q61398","9.798024e+05","1.128200e+06","1.336567e+06","1.196640e+06","1.151427e+06","1.476005e+06","1.445754e+06","0.197872003721793","0.7377243351356"
"81","1::P70274","3.024398e+05","3.714865e+05","4.546065e+05","2.760860e+05","4.946980e+05","4.775072e+05","9.651173e+05","0.201175326784732","0.7377243351356"
"82","1::Q64739","1.009706e+04","1.755047e+04","1.979462e+04","1.876686e+04","1.701168e+04","4.347812e+04","3.115319e+04","0.202319048431837","0.7377243351356"
"83","1::O70362","3.215782e+04","3.745052e+04","4.537291e+04","7.675300e+04","1.701974e+05","6.373012e+04","8.372850e+04","0.211709754680441","0.762665260836769"
"84","1::Q07456","1.099919e+08","1.615050e+08","1.672596e+08","1.422644e+08","1.407390e+08","2.062280e+08","1.991687e+08","0.216594321682155","0.770972645035292"
"85","1::Q6YGZ1","1.764825e+04","2.416718e+04","2.204537e+04","1.221771e+04","3.875850e+04","9.490227e+04","2.971862e+04","0.222801300653006","0.783731537139749"
"86","1::Q3UQ28","1.334640e+05","2.460529e+05","1.366200e+05","1.613531e+05","6.451840e+04","1.425057e+05","1.458206e+05","0.227389040089675","0.783731537139749"
"87","1::P06684","2.125407e+05","1.634904e+05","2.572408e+05","3.248867e+05","1.366962e+06","5.047563e+05","4.023615e+05","0.231082448388431","0.783731537139749"
"88","1::P39039","1.153706e+05","1.528309e+05","1.618883e+05","2.176201e+05","1.865411e+05","1.886751e+05","2.060557e+05","0.231304227386303","0.783731537139749"
"89","1::O09164","7.459241e+05","1.214217e+06","1.502929e+06","1.006536e+06","1.057951e+06","1.726562e+06","2.148518e+06","0.23450527303474","0.783731537139749"
"90","1::Q99JY9;1::Q641P0","1.169183e+06","1.162889e+06","1.098345e+06","1.290355e+06","8.401362e+05","1.206057e+06","9.685417e+05","0.237905014358704","0.783731537139749"
"91","1::Q61247","3.313685e+05","3.634908e+05","4.267043e+05","4.490819e+05","3.500677e+05","6.709134e+05","7.089378e+05","0.243796137091078","0.783731537139749"
"92","1::Q9JJH1","6.146341e+06","7.222803e+06","9.109479e+06","7.329756e+06","3.403622e+06","5.705752e+06","7.501257e+06","0.245037028772338","0.783731537139749"
