"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"2098","sp|P54709|AT1B3_HUMAN",168375.472109939,206963.085403165,591421.5878,461873.842407175,645878.22101367,580309.750736964,128290.176660986,1975864.13710283,1660057.64254621,1263388.54335051,992506.078448109,1142628.28199653,1304903.6612062,"0.327375547990053"
"2099","sp|Q04760|LGUL_HUMAN",387007.029408868,512244.97961664,619957.9715,528857.064336378,895056.877853025,765082.462628154,238080.106649955,770544.207411626,600887.765255009,885908.78275407,572869.578376026,557165.239581296,410468.362825664,"0.387340920233019"
"2100","sp|P61803|DAD1_HUMAN",144381.127648792,150163.345317682,346149.0304,293980.713170915,570561.36706271,447080.866969789,73721.0038558553,931511.428387455,1196939.01638942,1192600.904631,1491107.31334088,799869.713815166,978925.607918732,"0.722169045455874"
"2101","sp|Q71UM5|RS27L_HUMAN",32825.8268938036,46267.370392278,58525.87268,63775.3220971439,37077.3180591432,103209.97945039,8633.80964329165,274706.02593178,143647.663862955,447232.738073976,453713.456970158,180412.701814643,190709.667160198,"0.88227855658043"
"2102","sp|P04434|KV310_HUMAN",461564.891636157,632459.542864038,4174256.751,3419527.91990688,918333.029055521,831172.132278513,516780.058106772,1216171.50937293,1092812.14063132,3098093.58631675,4074617.77219526,3629372.12308729,3940213.70353224,"0.706562165702761"
"2103","sp|P49207|RL34_HUMAN",10356.8527255159,12766.8542934459,30740.92104,47069.0054747993,39177.3833260452,43814.0513279582,13636.7319794631,145941.839383021,195825.106536149,156031.260690857,114441.858785023,220065.072902423,281734.468229218,"0.183804002259188"
"2104","sp|P07954|FUMH_HUMAN",701284.708349756,786148.754613956,1192314.149,1190419.12838358,851412.391003518,1196184.18194115,412440.11048599,1738292.96728311,1432825.360356,2127815.95979707,1796480.33169449,3764612.29390967,3671433.3764768,"0.179277918956181"
"2105","sp|P05026|AT1B1_HUMAN",411691.174586779,510426.262862453,621647.0709,597686.899962839,975893.88310492,838908.642905666,236068.264854617,1263534.96411044,1212447.61857821,712875.865909743,992599.928705151,910180.098358644,893845.549761854,"0.553555756988803"
"2106","sp|P40261|NNMT_HUMAN",185846.134405479,131380.047849328,168989.2233,191119.130033358,141924.162456058,161559.57469109,42382.9661071293,594698.429775274,763747.26138233,1868431.38849176,1732613.10788524,622838.321150694,580036.254415182,"0.876649963252078"
"2107","sp|O43617|TPPC3_HUMAN",52821.6855390467,64155.5750978135,187868.812,126077.559546087,102361.673632737,120349.296624785,45379.2221782218,247534.512532134,297178.874078673,235861.831212057,218715.216893094,229367.579524711,298377.624914539,"0.376998970491018"
"2108","sp|P25774|CATS_HUMAN",530016.44175816,565696.728315179,27027.50909,29619.6413520393,69274.1114023538,145402.213112621,12734.9999635702,885087.054936362,885552.289199171,324966.0309081,285378.230417087,424476.487749529,474898.784584266,"0.693229041475391"
"2109","sp|Q9H4G4|GAPR1_HUMAN",300116.085239113,492704.129960762,1445978.183,1337294.38012332,647934.988907645,700400.842362928,225875.255744975,1577228.42787303,1471850.86099811,1177013.85042317,698273.909198546,883966.833866904,828717.260277575,"0.163623410779376"
"2110","sp|Q7RTV0|PHF5A_HUMAN",18441.3400836786,22355.9970429628,92056.03934,64421.133664638,128109.807751047,112342.700589901,1569.2680405133,253199.803199279,190705.706189192,297786.832164181,236107.719691854,237337.429806244,218338.665386304,"0.497601821313249"
"2111","sp|P62312|LSM6_HUMAN",23646.5731050978,36281.964893084,61294.63647,54517.4418625357,73693.0436683671,86884.4674038816,27542.5953191279,88057.1817006575,94592.9497931574,120771.300492147,110014.287576679,172570.617411275,175523.320337884,"0.337105547971849"
"2112","sp|Q15257|PTPA_HUMAN",224619.620467637,305076.525343027,390758.9803,298538.15199699,462600.363553186,415094.758111115,326959.167305192,594056.162901434,553788.207055202,786953.583094467,769857.016196233,466796.168424801,394738.552821979,"0.783220548255422"
