"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1420","sp|O95486|SC24A_HUMAN",78445.4840971776,85173.256513587,98422.4733952829,100471.950821249,112509.407058886,109164.284695248,55180.0486882957,285776.908118359,330365.028674522,304855.522570857,289230.970548376,587342.628492764,645081.747722361,"0.187195424573098"
"1421","sp|Q9H3U1|UN45A_HUMAN",90714.5524966797,186269.343803537,112368.1640155,120207.910850097,110312.247571712,130928.136033449,85800.0155738066,164812.216257866,130504.27597887,113323.100791293,95931.2736039671,87770.1234414594,53172.3217283921,"0.841704980833301"
"1422","sp|Q8NBQ5|DHB11_HUMAN",832069.013735893,1367797.9433554,708709.29053428,856260.566236137,1026242.37521321,1189329.9649308,1083088.6762655,508830.999157059,409118.750506017,712021.007245572,762573.05303324,581981.059060812,529701.684190396,"0.0411254943563851"
"1423","sp|Q14573|ITPR3_HUMAN;sp|Q14571|ITPR2_HUMAN",302515.772461434,398682.297276327,395463.928818021,614731.330268895,374498.957022868,385182.51485218,501249.134344408,263700.713417252,209406.902121228,336213.697633807,520000.445118888,311528.347910653,194665.889114053,"0.530479267329544"
"1424","sp|P20933|ASPG_HUMAN",52586.1666661826,69726.282647499,45820.0180508557,39084.9843551325,48725.0608300241,60368.7228224758,35802.5988602535,59893.5363536613,94047.815916543,121659.29632196,101031.797732147,42788.8973062574,57057.6924653048,"0.841399894081891"
"1425","sp|Q9BT09|CNPY3_HUMAN",124239.659610118,198983.804962327,72900.3296671993,72180.0675239874,84842.4961779586,127484.344761845,87350.4666517256,93217.5635981697,72599.5043073419,65593.1322876177,72603.3340956442,397896.953833406,398279.613427225,"0.280238448059632"
"1426","sp|Q8IXQ6|PARP9_HUMAN",104242.130824334,120976.459988602,161130.192897127,140553.908720435,153784.200362603,128087.838259383,77323.1356803559,253522.489008028,225638.740438809,162287.219055642,130753.927053491,146738.098439202,145935.594280227,"0.101379969446697"
"1427","sp|Q03001|DYST_HUMAN",1029709.50578231,788203.280443698,875869.690852349,860452.520318147,1101736.18116713,1262971.21634769,725862.683736503,2002719.41332274,2031313.34548821,2201533.5867853,2368350.98556633,2801730.07479552,2718667.12162159,"0.469171999475777"
"1428","sp|P49916|DNLI3_HUMAN",22079.5045777023,34126.5910037905,24530.9524291154,20221.7663772989,35790.0887578157,35434.4552663025,50980.3107974558,135627.737232658,140558.618129793,60116.7583923852,63433.1905614609,93836.7256323821,114479.414200549,"0.168859066418103"
"1429","sp|P61163|ACTZ_HUMAN",150734.5989282,167307.037167919,127986.359327507,118107.49331661,200841.934611693,160854.689936819,97893.0152742996,92908.4306737799,129019.397131421,65488.6005035152,53024.1474609711,154919.918749788,124605.402826336,"0.955110815757134"
"1430","sp|Q96GG9|DCNL1_HUMAN",178866.248796447,165707.156814738,139369.340442728,145845.187083358,158735.483384674,132371.37743218,288570.484435073,226070.022343134,216093.960636928,173007.979261585,139189.659997269,251930.666025773,307225.807626936,"0.165196210662694"
"1431","sp|P46776|RL27A_HUMAN",336947.1443891,343093.951117686,642966.826114925,736015.657959663,361934.439852312,351827.624392499,717319.10074565,102079.709134277,118668.570016944,616862.609754278,564368.575240599,646454.339017607,711938.198870155,"0.639005946138486"
"1432","sp|O75368|SH3L1_HUMAN",1160941.20795929,1261564.10524383,1197283.6012898,1197253.47901618,764365.58005947,696831.239894435,562576.606825291,1038333.37910816,1321359.7547716,778873.256225489,855188.612992127,1144445.35639245,1220542.25723035,"0.790634132964365"
"1433","sp|P24844|MYL9_HUMAN;sp|P19105|ML12A_HUMAN",399134.466326682,486653.977844092,1009306.47438367,902168.574159224,1142834.55278933,1764976.65316206,170298.871895903,591292.207231199,504535.435323942,856219.206895756,809207.771108596,460693.686493724,471004.531268782,"0.951240396492837"
"1434","sp|Q15435|PP1R7_HUMAN",916559.891120544,1169280.81361982,877149.176712259,897924.47835787,1034066.18302468,948390.352111944,1204263.27361251,380727.726225786,434593.328034358,742539.27393383,697030.843251716,405980.053945934,376986.254959179,"0.169859133337839"
"1435","sp|Q9NTK5|OLA1_HUMAN",516923.017046369,418744.395376206,197607.004085927,190655.395692907,194710.359468991,239005.847251282,547744.897800297,313888.367714809,313418.895183119,128482.268677126,160170.749745518,877745.745517351,834917.092804249,"0.644192458046239"
"1436","sp|Q15907|RB11B_HUMAN;sp|P62491|RB11A_HUMAN",1322763.55110185,1424852.59480034,890571.273963891,1113417.03990891,1493715.81325536,1344392.04688195,1752023.38102148,1217336.6679476,1145093.67183553,1041770.12593018,886079.417367785,1003025.52310701,991174.605354821,"0.748899609460684"
"1437","sp|P25205|MCM3_HUMAN",71538.888002683,56903.5580697977,33218.9347848186,38797.5385353324,19885.8116741332,16748.568679077,50141.4349154294,170061.664428297,156678.721294693,87761.2815984854,45999.3946880912,139221.078654738,100784.482317555,"0.101907352897424"
"1438","sp|Q9BZQ8|NIBAN_HUMAN",247621.723358128,289601.22851754,380365.999069607,393024.232669126,267420.984777137,316010.237390514,273179.249621617,234859.472207555,264601.653694748,123498.822698299,129588.010190494,254125.938566202,359546.749468629,"0.655741152732853"
"1439","sp|O95183|VAMP5_HUMAN",93154.4498502307,116428.395927228,188266.48254532,164466.673881613,267045.925067363,257874.599548873,15875.1996405671,14621.2808694085,27949.5384377984,105409.476741873,154567.034501372,41968.4199640557,45224.07025077,"0.319341960357415"
"1440","sp|P12036|NFH_HUMAN;sp|O95678|K2C75_HUMAN;sp|Q86Y46|K2C73_HUMAN;sp|Q8N1N4|K2C78_HUMAN",155680405.005149,188447626.320611,126336429.714507,117778529.854434,151281863.200141,125699987.770987,153319452.925308,106026079.28368,104993184.797041,103776790.654368,88566580.7051408,90016416.682276,76028318.2587195,"0.539636282999129"
"1441","sp|P11310|ACADM_HUMAN",309340.144157738,284797.422358732,175403.369027746,163708.073256641,224488.274170531,170946.419376428,156261.295762526,226112.21759944,208062.901889063,352987.016380489,387374.382336757,535728.69613873,422639.402781755,"0.640654602159755"
"1442","sp|Q6YN16|HSDL2_HUMAN",1004607.43924405,1209477.61828327,515228.917867547,491708.168895973,283759.314255882,296896.565442766,300955.86335269,208365.306315259,236125.018434275,227431.909674497,281925.319113697,394172.694012134,380799.234712631,"0.519282727230738"
"1443","sp|O75964|ATP5L_HUMAN",229865.502534437,379942.257566115,279064.361395516,214561.920663332,150445.548518526,73199.5942574528,403401.284156035,77484.7194174855,115094.814390305,262706.090344382,262008.775550861,156116.170490006,173194.306996398,"0.18210716323625"
"1444","sp|Q13867|BLMH_HUMAN",1895126.50705943,1631102.96734836,1554307.78873274,1499347.76700278,1577555.50173921,1271539.71412111,2010415.53849016,1954536.91281208,2297265.6038998,767512.130003847,1068317.86165001,1603446.64255672,1310407.51266476,"0.896714365967158"
