"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1182","sp|Q96I24|FUBP3_HUMAN",416819.238088027,374937.027470855,314810.042154034,286167.169210457,472613.827842444,530580.269808809,432507.265298346,231906.577252591,195509.366601963,408272.804350726,437812.733841135,205479.608418947,191165.19639887
"1183","sp|Q13523|PRP4B_HUMAN",62695.9166371511,63600.7841322648,90444.0801184662,49870.9610723738,47525.2357009356,42208.4447875924,51636.2940947738,62088.8904367707,95437.752613018,55229.1321935587,93477.6014726593,114065.778265733,103592.609798871
"1184","sp|P04066|FUCO_HUMAN",1896814.57391782,2204089.93047897,252274.015129617,374411.812871456,205544.957011889,169525.883141594,508128.785227404,2554506.25573275,2545893.54871373,616227.193140585,690739.460414807,976379.44021851,922173.437760462
"1185","sp|P01903|DRA_HUMAN",2144439.0882552,1982363.78318851,845942.997091415,796216.625419101,1686584.65285919,1473156.48547163,903766.452343508,732238.02891251,772649.942920523,767946.111845367,635891.598692325,805632.009122989,828771.969600759
"1186","sp|Q9UHQ9|NB5R1_HUMAN",522843.530237733,547470.83514248,414444.077118985,336212.061936788,180045.696473417,185219.651780728,443117.195793475,78311.3924875634,74023.4587444485,236202.43066958,191586.041944859,140665.414089873,213188.928822877
"1187","sp|P42330|AK1C3_HUMAN",500291.254160755,409123.255413848,550764.453427162,515547.580526958,482199.608614962,576960.398843171,461053.663898241,269887.79597533,314160.555413131,134838.150959342,212255.814386633,3029733.06730172,2685905.61239595
"1188","sp|Q04828|AK1C1_HUMAN;sp|P17516|AK1C4_HUMAN;sp|P52895|AK1C2_HUMAN",191152.915853601,172371.367841552,111239.298522895,92939.4842975101,141921.157456789,256302.519713108,194991.530109392,193713.947463438,146754.586538959,82803.8055514213,59817.7883416377,898189.191698571,1150419.52071449
"1189","sp|Q9Y2Q3|GSTK1_HUMAN",1429420.31547486,1561129.39399577,970791.63229426,1105894.03286604,1528074.48593373,1428422.94073469,682209.453079427,1424847.98538021,1192222.29747472,1478847.71548744,1354396.02938902,1185992.43178723,1207053.69629111
"1190","sp|Q9UQE7|SMC3_HUMAN",169916.774687671,169391.409722945,151870.883107741,144631.754263742,246769.823511742,198480.360036903,146146.048089801,244834.110837076,189583.513876854,343558.361500703,332291.801976764,190645.127379763,193346.457049571
"1191","sp|Q6P179|ERAP2_HUMAN",248199.844802145,274966.285422619,166465.155634833,176813.804119684,35305.1835621311,38883.5967486595,198738.339885432,307640.062949713,379851.675479999,12783.2250691576,7337.84446035532,27581.0852694591,28260.445320153
