"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"79","QM","Loess-G",0.006,0,0,0,0,16
"80","QM","Loess-G",0.007,0,0,0,0,17
"81","QM","Loess-G",0.008,0,0,0,0,18
"82","QM","Loess-G",0.009,0,0,0,0,19
"83","QM","Loess-G",0.01,0,0,0,0,19
"84","QM","Loess-G",0.02,0,0,0,0,23
"86","QM","Loess-G",0.04,0,0,0,0,33
"87","QM","Loess-G",0.05,0,0,0,0,37
"88","QM","Loess-G",0.06,0,0,0,0,38
"89","QM","Loess-G",0.07,0,0,0,0,44
"90","QM","Loess-G",0.08,0,0,0,0,48
"91","QM","Loess-G",0.09,0,0,0,0,49
"92","QM","Loess-G",0.1,0,0,0,0,51
"93","QM","RLR-G",1e-06,0,0,0,0,34
"98","QM","RLR-G",6e-06,0,0,0,0,43
"99","QM","RLR-G",7e-06,0,0,0,0,43
"100","QM","RLR-G",8e-06,0,0,0,0,43
"101","QM","RLR-G",9e-06,0,0,0,0,45
"102","QM","RLR-G",1e-05,0,0,0,0,46
"107","QM","RLR-G",6e-05,0,0,0,0,56
"122","QM","RLR-G",0.003,0,0,0,0,74
"123","QM","RLR-G",0.004,0,0,0,0,74
"124","QM","RLR-G",0.005,0,0,0,0,76
"125","QM","RLR-G",0.006,0,0,0,0,78
"126","QM","RLR-G",0.007,0,0,0,0,78
"127","QM","RLR-G",0.008,0,0,0,0,78
"128","QM","RLR-G",0.009,0,0,0,0,79
"129","QM","RLR-G",0.01,0,0,0,0,79
"139","QM","VSN-G",1e-06,0,0,0,0,3
"140","QM","VSN-G",2e-06,0,0,0,0,3
"141","QM","VSN-G",3e-06,0,0,0,0,3
"142","QM","VSN-G",4e-06,0,0,0,0,3
"143","QM","VSN-G",5e-06,0,0,0,0,4
"144","QM","VSN-G",6e-06,0,0,0,0,4
"145","QM","VSN-G",7e-06,0,0,0,0,4
"146","QM","VSN-G",8e-06,0,0,0,0,4
"147","QM","VSN-G",9e-06,0,0,0,0,4
"148","QM","VSN-G",1e-05,0,0,0,0,4
"149","QM","VSN-G",2e-05,0,0,0,0,5
"150","QM","VSN-G",3e-05,0,0,0,0,5
"151","QM","VSN-G",4e-05,0,0,0,0,5
"152","QM","VSN-G",5e-05,0,0,0,0,7
"153","QM","VSN-G",6e-05,0,0,0,0,7
"154","QM","VSN-G",7e-05,0,0,0,0,7
"155","QM","VSN-G",8e-05,0,0,0,0,7
"160","QM","VSN-G",4e-04,0,0,0,0,12
"161","QM","VSN-G",5e-04,0,0,0,0,12
"162","QM","VSN-G",6e-04,0,0,0,0,12
"163","QM","VSN-G",7e-04,0,0,0,0,12
"164","QM","VSN-G",8e-04,0,0,0,0,12
"165","QM","VSN-G",9e-04,0,0,0,0,12
"166","QM","VSN-G",0.001,0,0,0,0,13
"167","QM","VSN-G",0.002,0,0,0,0,16
"168","QM","VSN-G",0.003,0,0,0,0,17
"169","QM","VSN-G",0.004,0,0,0,0,19
"170","QM","VSN-G",0.005,0,0,0,0,20
"171","QM","VSN-G",0.006,0,0,0,0,20
"172","QM","VSN-G",0.007,0,0,0,0,23
"173","QM","VSN-G",0.008,0,0,0,0,23
"174","QM","VSN-G",0.009,0,0,0,0,23
"183","QM","VSN-G",0.09,0,0,0,0,48
"184","QM","VSN-G",0.1,0,0,0,0,50
"185","QM","TI-G",1e-06,0,0,0,0,5
"186","QM","TI-G",2e-06,0,0,0,0,6
"187","QM","TI-G",3e-06,0,0,0,0,7
"188","QM","TI-G",4e-06,0,0,0,0,8
"189","QM","TI-G",5e-06,0,0,0,0,8
"190","QM","TI-G",6e-06,0,0,0,0,8
"191","QM","TI-G",7e-06,0,0,0,0,8
"192","QM","TI-G",8e-06,0,0,0,0,8
"193","QM","TI-G",9e-06,0,0,0,0,9
"194","QM","TI-G",1e-05,0,0,0,0,9
"195","QM","TI-G",2e-05,0,0,0,0,9
"196","QM","TI-G",3e-05,0,0,0,0,9
"197","QM","TI-G",4e-05,0,0,0,0,9
"198","QM","TI-G",5e-05,0,0,0,0,9
"199","QM","TI-G",6e-05,0,0,0,0,10
"200","QM","TI-G",7e-05,0,0,0,0,10
"201","QM","TI-G",8e-05,0,0,0,0,11
"202","QM","TI-G",9e-05,0,0,0,0,11
"208","QM","TI-G",6e-04,0,0,0,0,13
"209","QM","TI-G",7e-04,0,0,0,0,13
"210","QM","TI-G",8e-04,0,0,0,0,13
"211","QM","TI-G",9e-04,0,0,0,0,13
"212","QM","TI-G",0.001,0,0,0,0,13
"213","QM","TI-G",0.002,0,0,0,0,15
"214","QM","TI-G",0.003,0,0,0,0,16
"215","QM","TI-G",0.004,0,0,0,0,17
"216","QM","TI-G",0.005,0,0,0,0,17
"231","QM","MedI-G",1e-06,0,0,0,0,8
"232","QM","MedI-G",2e-06,0,0,0,0,9
"233","QM","MedI-G",3e-06,0,0,0,0,9
"234","QM","MedI-G",4e-06,0,0,0,0,9
"235","QM","MedI-G",5e-06,0,0,0,0,9
"236","QM","MedI-G",6e-06,0,0,0,0,10
"237","QM","MedI-G",7e-06,0,0,0,0,11
"238","QM","MedI-G",8e-06,0,0,0,0,11
"239","QM","MedI-G",9e-06,0,0,0,0,11
"240","QM","MedI-G",1e-05,0,0,0,0,12
"241","QM","MedI-G",2e-05,0,0,0,0,13
"242","QM","MedI-G",3e-05,0,0,0,0,15
"243","QM","MedI-G",4e-05,0,0,0,0,15
"244","QM","MedI-G",5e-05,0,0,0,0,15
