"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"94","BT","MedI-G",2e-06,0,0,0,0,0
"95","BT","MedI-G",3e-06,0,0,0,0,0
"96","BT","MedI-G",4e-06,0,0,0,0,0
"97","BT","MedI-G",5e-06,0,0,0,0,0
"98","BT","MedI-G",6e-06,0,0,0,0,0
"99","BT","MedI-G",7e-06,0,0,0,0,0
"100","BT","MedI-G",8e-06,0,0,0,0,0
"101","BT","MedI-G",9e-06,0,0,0,0,0
"102","BT","MedI-G",1e-05,0,0,0,0,0
"103","BT","MedI-G",2e-05,0,0,0,0,0
"104","BT","MedI-G",3e-05,0,0,0,0,0
"105","BT","MedI-G",4e-05,0,0,0,0,0
"106","BT","MedI-G",5e-05,0,0,0,0,0
"107","BT","MedI-G",6e-05,0,0,0,0,0
"108","BT","MedI-G",7e-05,0,0,0,0,0
"109","BT","MedI-G",8e-05,0,0,0,0,0
"110","BT","MedI-G",9e-05,0,0,0,0,0
"111","BT","MedI-G",1e-04,0,0,0,0,0
"112","BT","MedI-G",2e-04,0,0,0,0,0
"113","BT","MedI-G",3e-04,0,0,0,0,0
"114","BT","MedI-G",4e-04,0,0,0,0,0
"115","BT","MedI-G",5e-04,0,0,0,0,0
"116","BT","MedI-G",6e-04,0,0,0,0,0
"117","BT","MedI-G",7e-04,0,0,0,0,0
"118","BT","MedI-G",8e-04,0,0,0,0,0
"119","BT","MedI-G",9e-04,0,0,0,0,0
"120","BT","MedI-G",0.001,0,0,0,0,0
"121","BT","MedI-G",0.002,0,0,0,0,1
"122","BT","MedI-G",0.003,0,0,0,0,1
"123","BT","MedI-G",0.004,0,0,0,0,1
"124","BT","MedI-G",0.005,0,0,0,0,1
"130","BT","MedI-G",0.02,0,0,0,0,3
"131","BT","MedI-G",0.03,0,0,0,0,4
"132","BT","MedI-G",0.04,0,0,0,0,6
"133","BT","MedI-G",0.05,0,0,0,0,6
"134","BT","MedI-G",0.06,0,0,0,0,7
"135","BT","MedI-G",0.07,0,0,0,0,8
"136","BT","MedI-G",0.08,0,0,0,0,11
