"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"204","QM","MedI-G",2e-04,3,3,0,6,1
"205","QM","MedI-G",3e-04,3,3,0,6,1
"206","QM","MedI-G",4e-04,3,3,0,6,1
"207","QM","MedI-G",5e-04,3,3,0,6,1
"208","QM","MedI-G",6e-04,3,3,0,6,1
"231","QM","AI-G",1e-06,3,3,0,6,1
"232","QM","AI-G",2e-06,3,3,0,6,1
"233","QM","AI-G",3e-06,3,3,0,6,1
"234","QM","AI-G",4e-06,3,3,0,6,1
"235","QM","AI-G",5e-06,3,3,0,6,1
"236","QM","AI-G",6e-06,3,3,0,6,1
"237","QM","AI-G",7e-06,3,3,0,6,1
"238","QM","AI-G",8e-06,3,3,0,6,1
"239","QM","AI-G",9e-06,3,3,0,6,1
"240","QM","AI-G",1e-05,3,3,0,6,1
"241","QM","AI-G",2e-05,3,3,0,6,1
"242","QM","AI-G",3e-05,3,3,0,6,1
"243","QM","AI-G",4e-05,3,3,0,6,1
"244","QM","AI-G",5e-05,3,3,0,6,1
"245","QM","AI-G",6e-05,3,3,0,6,1
"246","QM","AI-G",7e-05,3,3,0,6,1
"247","QM","AI-G",8e-05,3,3,0,6,1
"248","QM","AI-G",9e-05,3,3,0,6,1
"249","QM","AI-G",1e-04,3,3,0,6,1
"250","QM","AI-G",2e-04,3,3,0,6,1
"175","QM","TI-G",0.01,5,0,0,5,12
"262","QM","AI-G",0.005,0,3,2,5,7
"44","QM","Loess-G",0.08,0,2,2,4,1613
"91","QM","RLR-G",0.09,2,0,2,4,1522
"92","QM","RLR-G",0.1,2,0,2,4,1542
"211","QM","MedI-G",9e-04,2,1,0,3,3
"212","QM","MedI-G",0.001,2,1,0,3,3
"213","QM","MedI-G",0.002,0,3,0,3,4
"263","QM","AI-G",0.006,0,0,3,3,9
"264","QM","AI-G",0.007,0,0,3,3,9
"45","QM","Loess-G",0.09,0,0,2,2,1636
"46","QM","Loess-G",0.1,0,0,2,2,1652
"177","QM","TI-G",0.03,0,2,0,2,26
"214","QM","MedI-G",0.003,0,1,0,1,5
"164","QM","TI-G",8e-04,0,0,0,0,2
"165","QM","TI-G",9e-04,0,0,0,0,2
"166","QM","TI-G",0.001,0,0,0,0,2
"167","QM","TI-G",0.002,0,0,0,0,2
"170","QM","TI-G",0.005,0,0,0,0,5
"171","QM","TI-G",0.006,0,0,0,0,6
"172","QM","TI-G",0.007,0,0,0,0,6
"173","QM","TI-G",0.008,0,0,0,0,8
"176","QM","TI-G",0.02,0,0,0,0,19
"178","QM","TI-G",0.04,0,0,0,0,38
"179","QM","TI-G",0.05,0,0,0,0,51
"180","QM","TI-G",0.06,0,0,0,0,58
"181","QM","TI-G",0.07,0,0,0,0,71
"182","QM","TI-G",0.08,0,0,0,0,82
"183","QM","TI-G",0.09,0,0,0,0,93
"184","QM","TI-G",0.1,0,0,0,0,109
"209","QM","MedI-G",7e-04,0,0,0,0,2
"210","QM","MedI-G",8e-04,0,0,0,0,2
"215","QM","MedI-G",0.004,0,0,0,0,7
"216","QM","MedI-G",0.005,0,0,0,0,8
"217","QM","MedI-G",0.006,0,0,0,0,10
"218","QM","MedI-G",0.007,0,0,0,0,10
"219","QM","MedI-G",0.008,0,0,0,0,11
"220","QM","MedI-G",0.009,0,0,0,0,12
"221","QM","MedI-G",0.01,0,0,0,0,13
"222","QM","MedI-G",0.02,0,0,0,0,19
"223","QM","MedI-G",0.03,0,0,0,0,27
"224","QM","MedI-G",0.04,0,0,0,0,35
"225","QM","MedI-G",0.05,0,0,0,0,46
"226","QM","MedI-G",0.06,0,0,0,0,53
"227","QM","MedI-G",0.07,0,0,0,0,62
"228","QM","MedI-G",0.08,0,0,0,0,76
"229","QM","MedI-G",0.09,0,0,0,0,87
"230","QM","MedI-G",0.1,0,0,0,0,100
"251","QM","AI-G",3e-04,0,0,0,0,2
"252","QM","AI-G",4e-04,0,0,0,0,2
"253","QM","AI-G",5e-04,0,0,0,0,2
"254","QM","AI-G",6e-04,0,0,0,0,2
"255","QM","AI-G",7e-04,0,0,0,0,2
"256","QM","AI-G",8e-04,0,0,0,0,2
"257","QM","AI-G",9e-04,0,0,0,0,3
"258","QM","AI-G",0.001,0,0,0,0,3
"259","QM","AI-G",0.002,0,0,0,0,4
"260","QM","AI-G",0.003,0,0,0,0,4
"261","QM","AI-G",0.004,0,0,0,0,5
"265","QM","AI-G",0.008,0,0,0,0,10
"266","QM","AI-G",0.009,0,0,0,0,10
"267","QM","AI-G",0.01,0,0,0,0,10
"268","QM","AI-G",0.02,0,0,0,0,17
"269","QM","AI-G",0.03,0,0,0,0,27
"270","QM","AI-G",0.04,0,0,0,0,33
"271","QM","AI-G",0.05,0,0,0,0,46
"272","QM","AI-G",0.06,0,0,0,0,54
"273","QM","AI-G",0.07,0,0,0,0,65
"274","QM","AI-G",0.08,0,0,0,0,77
"275","QM","AI-G",0.09,0,0,0,0,84
"276","QM","AI-G",0.1,0,0,0,0,93
"323","T","Loess-G",1e-06,0,0,0,0,0
"324","T","Loess-G",2e-06,0,0,0,0,0
"325","T","Loess-G",3e-06,0,0,0,0,0
"326","T","Loess-G",4e-06,0,0,0,0,0
"327","T","Loess-G",5e-06,0,0,0,0,0
"328","T","Loess-G",6e-06,0,0,0,0,0
"329","T","Loess-G",7e-06,0,0,0,0,0
"330","T","Loess-G",8e-06,0,0,0,0,0
"331","T","Loess-G",9e-06,0,0,0,0,0
"332","T","Loess-G",1e-05,0,0,0,0,0
"333","T","Loess-G",2e-05,0,0,0,0,0
"334","T","Loess-G",3e-05,0,0,0,0,0
"335","T","Loess-G",4e-05,0,0,0,0,0
"336","T","Loess-G",5e-05,0,0,0,0,0
"337","T","Loess-G",6e-05,0,0,0,0,0
"338","T","Loess-G",7e-05,0,0,0,0,0
"339","T","Loess-G",8e-05,0,0,0,0,0
"340","T","Loess-G",9e-05,0,0,0,0,0
"341","T","Loess-G",1e-04,0,0,0,0,0
"342","T","Loess-G",2e-04,0,0,0,0,0
"343","T","Loess-G",3e-04,0,0,0,0,0
"344","T","Loess-G",4e-04,0,0,0,0,0
"345","T","Loess-G",5e-04,0,0,0,0,0
"346","T","Loess-G",6e-04,0,0,0,0,0
"347","T","Loess-G",7e-04,0,0,0,0,0
