"","x"
"531","sp|P23526|SAHH_HUMAN"
"532","sp|P55786|PSA_HUMAN;sp|A6NEC2|PSAL_HUMAN"
"533","sp|P50991|TCPD_HUMAN"
"534","sp|HBB_HUMAN|;sp|P68871|HBB_HUMAN"
"535","sp|A5YKK6|CNOT1_HUMAN"
"536","sp|Q49A26|GLYR1_HUMAN"
"537","sp|Q709C8|VP13C_HUMAN"
"538","sp|O15511|ARPC5_HUMAN"
"539","sp|Q8IXQ6|PARP9_HUMAN"
"540","sp|Q9UH62|ARMX3_HUMAN"
"541","sp|P10809|CH60_HUMAN"
"542","sp|Q15363|TMED2_HUMAN"
"543","sp|Q96C19|EFHD2_HUMAN"
"544","sp|O75323|NIPS2_HUMAN"
"545","sp|P55084|ECHB_HUMAN"
"546","sp|Q9UKM9|RALY_HUMAN"
"547","sp|P60228|EIF3E_HUMAN"
"548","sp|P53992|SC24C_HUMAN"
"549","sp|Q92974|ARHG2_HUMAN"
"550","sp|Q9BYD6|RM01_HUMAN"
"551","sp|P30447|1A23_HUMAN"
"552","sp|Q92973|TNPO1_HUMAN;sp|O14787|TNPO2_HUMAN"
"553","sp|O60841|IF2P_HUMAN"
"554","sp|Q92878|RAD50_HUMAN"
"555","sp|Q9NVP1|DDX18_HUMAN"
"556","sp|Q9H0C8|ILKAP_HUMAN"
"557","sp|P30050|RL12_HUMAN"
"558","sp|P46379|BAG6_HUMAN"
"559","sp|O75436|VP26A_HUMAN"
"560","sp|O43399|TPD54_HUMAN"
"561","sp|P06737|PYGL_HUMAN;sp|P11217|PYGM_HUMAN;Int_MassPrep_sp|P00489|PYGM_RABIT"
"562","sp|O95336|6PGL_HUMAN"
"563","sp|O00170|AIP_HUMAN"
"564","sp|P13716|HEM2_HUMAN"
"565","sp|P49257|LMAN1_HUMAN"
"566","sp|P14324|FPPS_HUMAN"
"567","sp|P09960|LKHA4_HUMAN"
"568","sp|Q8N392|RHG18_HUMAN"
"569","sp|Q06587|RING1_HUMAN;sp|Q99496|RING2_HUMAN"
"570","sp|Q9Y2W1|TR150_HUMAN"
"571","sp|Q8NFU3|TSTD1_HUMAN"
"572","sp|P62244|RS15A_HUMAN"
"573","sp|P17612|KAPCA_HUMAN;sp|P22694|KAPCB_HUMAN"
"574","sp|P30511|HLAF_HUMAN"
"575","sp|O95352|ATG7_HUMAN"
"576","sp|P55735|SEC13_HUMAN"
"577","sp|O15382|BCAT2_HUMAN"
"578","sp|O94903|PROSC_HUMAN"
"579","sp|P61803|DAD1_HUMAN"
"580","sp|Q14165|MLEC_HUMAN"
"581","sp|Q14204|DYHC1_HUMAN"
"582","sp|Q8WWM7|ATX2L_HUMAN"
"583","sp|O75439|MPPB_HUMAN"
"584","sp|Q9NXF1|TEX10_HUMAN"
"585","sp|Q9Y6M9|NDUB9_HUMAN"
"586","sp|P00568|KAD1_HUMAN;sp|Q9Y6K8|KAD5_HUMAN"
"587","sp|P54920|SNAA_HUMAN;sp|Q9H115|SNAB_HUMAN"
"588","sp|P52292|IMA1_HUMAN"
"589","sp|P51532|SMCA4_HUMAN;sp|P51531|SMCA2_HUMAN"
"590","sp|P62913|RL11_HUMAN"
"591","sp|O95793|STAU1_HUMAN"
"592","sp|Q15120|PDK3_HUMAN"
"593","sp|Q15437|SC23B_HUMAN"
"594","sp|Q8WWY3|PRP31_HUMAN"
"595","sp|Q8WW12|PCNP_HUMAN"
"596","sp|P62280|RS11_HUMAN"
"597","sp|Q13363|CTBP1_HUMAN"
"598","sp|Q14669|TRIPC_HUMAN"
"599","sp|P28062|PSB8_HUMAN"
"600","sp|P42224|STAT1_HUMAN"
"601","sp|O43665|RGS10_HUMAN"
"602","sp|Q9BYJ9|YTHD1_HUMAN"
"603","sp|O14617|AP3D1_HUMAN"
"604","sp|Q71DI3|H32_HUMAN;sp|P84243|H33_HUMAN;sp|Q16695|H31T_HUMAN"
"605","sp|Q6VEQ5|WASH2_HUMAN;sp|Q9NQA3|WASH6_HUMAN;sp|A8K0Z3|WASH1_HUMAN;sp|A8MWX3|WASH4_HUMAN;sp|C4AMC7|WASH3_HUMAN"
"606","sp|Q9HAB8|PPCS_HUMAN"
"607","sp|Q9UBS4|DJB11_HUMAN"
"608","sp|Q96T51|RUFY1_HUMAN"
"609","sp|Q7Z3B4|NUP54_HUMAN"
"610","sp|Q9BSJ2|GCP2_HUMAN"
"611","sp|O95571|ETHE1_HUMAN"
"612","sp|Q14152|EIF3A_HUMAN"
"613","sp|O43488|ARK72_HUMAN;sp|Q8NHP1|ARK74_HUMAN;sp|O95154|ARK73_HUMAN"
"614","sp|Q9P2E9|RRBP1_HUMAN;sp|Q8N4C6|NIN_HUMAN"
"615","sp|O60826|CCD22_HUMAN"
"616","sp|O95433|AHSA1_HUMAN"
"617","sp|Q99733|NP1L4_HUMAN"
"618","sp|Q8IXM2|BAP18_HUMAN"
"619","sp|P23588|IF4B_HUMAN"
"620","sp|Q8TC12|RDH11_HUMAN"
"621","sp|Q03405|UPAR_HUMAN"
"622","sp|O60220|TIM8A_HUMAN"
"623","sp|P26038|MOES_HUMAN"
"624","sp|P62258|1433E_HUMAN"
"625","sp|P22061|PIMT_HUMAN"
"626","sp|P50570|DYN2_HUMAN;sp|Q9UQ16|DYN3_HUMAN"
"627","sp|Q15907|RB11B_HUMAN;sp|P62491|RB11A_HUMAN"
"628","sp|Q12959|DLG1_HUMAN;sp|Q15700|DLG2_HUMAN"
"629","sp|Q9Y333|LSM2_HUMAN"
"630","sp|P11279|LAMP1_HUMAN"
"631","sp|Q9UBU9|NXF1_HUMAN"
"632","sp|Q92734|TFG_HUMAN"
"633","sp|O96019|ACL6A_HUMAN"
"634","sp|P48651|PTSS1_HUMAN"
"635","sp|P61978|HNRPK_HUMAN"
"636","sp|Q13561|DCTN2_HUMAN"
"637","sp|O14980|XPO1_HUMAN"
"638","sp|Q8TEM1|PO210_HUMAN"
"639","sp|P48735|IDHP_HUMAN"
"640","sp|P16157|ANK1_HUMAN"
"641","sp|Q9Y3Y2|CHTOP_HUMAN"
"642","sp|Q9Y6E0|STK24_HUMAN"
"643","sp|P36959|GMPR1_HUMAN"
"644","sp|Q6PI48|SYDM_HUMAN"
"645","sp|O75821|EIF3G_HUMAN"
"646","sp|Q93009|UBP7_HUMAN"
"647","sp|Q92696|PGTA_HUMAN"
"648","sp|P21283|VATC1_HUMAN"
"649","sp|Q9NTX5|ECHD1_HUMAN"
"650","sp|Q96RQ9|OXLA_HUMAN"
"651","sp|P14406|CX7A2_HUMAN"
"652","sp|P47755|CAZA2_HUMAN"
"653","sp|Q9NX46|ARHL2_HUMAN"
"654","sp|P13489|RINI_HUMAN"
"655","sp|P02730|B3AT_HUMAN"
"656","sp|P61421|VA0D1_HUMAN"
"657","sp|P15880|RS2_HUMAN"
"658","sp|P14854|CX6B1_HUMAN"
"659","sp|P08107|HSP71_HUMAN;sp|P34931|HS71L_HUMAN"
"660","sp|P60468|SC61B_HUMAN"
"661","sp|O94804|STK10_HUMAN"
"662","sp|P63220|RS21_HUMAN"
"663","sp|Q969H8|CS010_HUMAN"
"664","sp|Q16630|CPSF6_HUMAN"
"665","sp|P50995|ANX11_HUMAN;sp|P27216|ANX13_HUMAN"
"666","sp|P29466|CASP1_HUMAN;sp|Q5EG05|CAR16_HUMAN"
"667","sp|P50135|HNMT_HUMAN"
"668","sp|P05107|ITB2_HUMAN;sp|P26010|ITB7_HUMAN"
"669","sp|P20839|IMDH1_HUMAN"
"670","sp|P21912|SDHB_HUMAN"
"671","sp|Q96TC7|RMD3_HUMAN"
"672","sp|P23368|MAOM_HUMAN;sp|Q16798|MAON_HUMAN"
"673","sp|O75165|DJC13_HUMAN"
"674","sp|O43815|STRN_HUMAN"
"675","sp|P43686|PRS6B_HUMAN"
"676","sp|P53597|SUCA_HUMAN"
"677","sp|P16401|H15_HUMAN"
"678","sp|P39687|AN32A_HUMAN;sp|O43423|AN32C_HUMAN;sp|O95626|AN32D_HUMAN"
"679","sp|O95573|ACSL3_HUMAN;sp|O60488|ACSL4_HUMAN"
"680","sp|O15523|DDX3Y_HUMAN"
"681","sp|Q9P000|COMD9_HUMAN"
"682","sp|Q16531|DDB1_HUMAN"
"683","sp|P42858|HD_HUMAN"
"684","sp|Q9UBF2|COPG2_HUMAN"
"685","sp|Q01844|EWS_HUMAN"
"686","sp|A2RRP1|NBAS_HUMAN"
"687","sp|O75694|NU155_HUMAN"
"688","sp|P16298|PP2BB_HUMAN"
"689","sp|P00491|PNPH_HUMAN"
"690","sp|Q5JRX3|PREP_HUMAN"
"691","sp|Q9Y394|DHRS7_HUMAN"
"692","sp|Q9BUH6|CI142_HUMAN"
"693","sp|P18669|PGAM1_HUMAN"
"694","sp|Q8N3C0|ASCC3_HUMAN"
"695","sp|Q6NSW5|FA45B_HUMAN"
"696","sp|Q9BWF3|RBM4_HUMAN"
"697","sp|P15121|ALDR_HUMAN;sp|C9JRZ8|AK1BF_HUMAN"
"698","sp|P15153|RAC2_HUMAN;sp|P60763|RAC3_HUMAN"
"699","sp|Q5JPE7|NOMO2_HUMAN;sp|P69849|NOMO3_HUMAN;sp|Q15155|NOMO1_HUMAN"
"700","sp|Q6IBS0|TWF2_HUMAN"
"701","sp|Q00688|FKBP3_HUMAN"
"702","sp|P62140|PP1B_HUMAN"
"703","sp|O94776|MTA2_HUMAN"
"704","sp|RS27A_HUMAN|;sp|P0CG48|UBC_HUMAN;sp|P0CG47|UBB_HUMAN;sp|P62987|RL40_HUMAN;Int_P62988ups|UBIQ_HUMAN_UPS"
"705","sp|P45880|VDAC2_HUMAN"
"706","sp|P06744|G6PI_HUMAN"
"707","sp|Q16891|MIC60_HUMAN"
"708","sp|P46779|RL28_HUMAN"
"709","sp|Q9HB40|RISC_HUMAN"
"710","sp|Q7LBC6|KDM3B_HUMAN"
"711","sp|P46940|IQGA1_HUMAN;sp|Q86VI3|IQGA3_HUMAN"
"712","sp|Q8WUA2|PPIL4_HUMAN"
"713","sp|Q13131|AAPK1_HUMAN;sp|P54646|AAPK2_HUMAN"
"714","sp|P62857|RS28_HUMAN"
"715","sp|Q9Y4G6|TLN2_HUMAN;sp|Q9H427|KCNKF_HUMAN"
"716","sp|Q9Y4W6|AFG32_HUMAN"
"717","sp|P51572|BAP31_HUMAN"
"718","sp|P10316|1A69_HUMAN"
"719","sp|Q13162|PRDX4_HUMAN"
"720","sp|O94826|TOM70_HUMAN"
"721","sp|O95202|LETM1_HUMAN"
"722","sp|P37837|TALDO_HUMAN"
"723","sp|Q8N5M9|JAGN1_HUMAN"
"724","sp|P54136|SYRC_HUMAN"
"725","sp|Q9BVG4|PBDC1_HUMAN"
"726","sp|Q96KR1|ZFR_HUMAN"
"727","sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN"
"728","sp|O00193|SMAP_HUMAN"
"729","sp|Q96TA1|NIBL1_HUMAN"
"730","sp|Q14789|GOGB1_HUMAN"
"731","sp|Q9BSJ8|ESYT1_HUMAN"
"732","sp|O60547|GMDS_HUMAN"
"733","sp|P24534|EF1B_HUMAN"
"734","sp|P51610|HCFC1_HUMAN"
"735","sp|P21399|ACOC_HUMAN"
"736","sp|P63000|RAC1_HUMAN"
"737","sp|P35573|GDE_HUMAN"
"738","sp|Q13315|ATM_HUMAN"
"739","sp|Q9UHX1|PUF60_HUMAN"
"740","sp|Q8NC51|PAIRB_HUMAN"
"741","sp|O75369|FLNB_HUMAN"
"742","sp|Q9NQX3|GEPH_HUMAN"
"743","sp|P62701|RS4X_HUMAN"
"744","sp|Q8TDB8|GTR14_HUMAN;sp|P11169|GTR3_HUMAN"
"745","sp|Q07812|BAX_HUMAN"
"746","sp|O00584|RNT2_HUMAN"
"747","sp|P29401|TKT_HUMAN"
"748","sp|P53396|ACLY_HUMAN"
"749","sp|Q14019|COTL1_HUMAN"
"750","sp|Q8TC07|TBC15_HUMAN"
"751","sp|Q13045|FLII_HUMAN"
"752","sp|Q8TDB6|DTX3L_HUMAN"
"753","sp|Q15459|SF3A1_HUMAN"
"754","sp|P39023|RL3_HUMAN;sp|Q92901|RL3L_HUMAN"
"755","sp|P49821|NDUV1_HUMAN"
"756","sp|Q13217|DNJC3_HUMAN"
"757","sp|O14929|HAT1_HUMAN"
"758","sp|Q12768|STRUM_HUMAN"
"759","sp|P84095|RHOG_HUMAN;sp|P60763|RAC3_HUMAN;sp|P17081|RHOQ_HUMAN;sp|Q9H4E5|RHOJ_HUMAN"
"760","sp|P35637|FUS_HUMAN"
"761","sp|Q13085|ACACA_HUMAN;sp|O00763|ACACB_HUMAN"
"762","sp|O43765|SGTA_HUMAN"
"763","sp|Q9HCE1|MOV10_HUMAN"
"764","sp|Q1KMD3|HNRL2_HUMAN"
"765","sp|P00505|AATM_HUMAN"
"766","sp|P13798|ACPH_HUMAN"
"767","sp|P62241|RS8_HUMAN"
"768","sp|P12036|NFH_HUMAN;sp|O95678|K2C75_HUMAN;sp|Q86Y46|K2C73_HUMAN;sp|Q8N1N4|K2C78_HUMAN"
"769","sp|O14964|HGS_HUMAN"
"770","sp|Q9NVJ2|ARL8B_HUMAN"
"771","sp|P62910|RL32_HUMAN"
"772","sp|Q8N6T3|ARFG1_HUMAN"
"773","sp|P49189|AL9A1_HUMAN"
"774","sp|P31939|PUR9_HUMAN"
"775","sp|Q16401|PSMD5_HUMAN"
"776","sp|Q96I99|SUCB2_HUMAN"
"777","sp|O43747|AP1G1_HUMAN"
"778","sp|P62277|RS13_HUMAN"
"779","sp|Q9UQ80|PA2G4_HUMAN"
"780","sp|O15020|SPTN2_HUMAN"
"781","sp|P09972|ALDOC_HUMAN"
"782","sp|P10620|MGST1_HUMAN"
"783","sp|O75534|CSDE1_HUMAN"
"784","sp|P80723|BASP1_HUMAN"
"785","sp|Q86W42|THOC6_HUMAN"
"786","sp|Q03518|TAP1_HUMAN"
"787","sp|P35659|DEK_HUMAN"
"788","sp|P59998|ARPC4_HUMAN"
"789","sp|Q9BUR5|APOO_HUMAN"
"790","sp|O15294|OGT1_HUMAN"
"791","sp|P21796|VDAC1_HUMAN"
"792","sp|Q92599|SEPT8_HUMAN"
"793","sp|P61604|CH10_HUMAN"
"794","sp|Q9UBG0|MRC2_HUMAN"
"795","sp|P09669|COX6C_HUMAN"
"796","sp|O15355|PPM1G_HUMAN"
"797","sp|Q9BWM7|SFXN3_HUMAN"
"798","sp|O75874|IDHC_HUMAN"
"799","sp|P12829|MYL4_HUMAN"
"800","sp|Q9NQE9|HINT3_HUMAN"
"801","sp|Q9UHD9|UBQL2_HUMAN;sp|Q9NRR5|UBQL4_HUMAN"
"802","sp|Q969G3|SMCE1_HUMAN"
"803","sp|P35249|RFC4_HUMAN"
"804","sp|P04439|1A03_HUMAN"
"805","sp|Q9NUQ8|ABCF3_HUMAN"
"806","sp|Q9HAV0|GBB4_HUMAN;sp|P16520|GBB3_HUMAN"
"807","sp|P33121|ACSL1_HUMAN"
"808","sp|Q15424|SAFB1_HUMAN;sp|Q14151|SAFB2_HUMAN"
"809","sp|P22681|CBL_HUMAN;sp|Q13191|CBLB_HUMAN"
"810","sp|O95782|AP2A1_HUMAN"
"811","sp|O94901|SUN1_HUMAN"
"812","sp|P55809|SCOT1_HUMAN;sp|Q9BYC2|SCOT2_HUMAN"
"813","sp|P38159|RBMX_HUMAN;sp|Q96E39|RMXL1_HUMAN;sp|O75526|RMXL2_HUMAN"
"814","sp|P22307|NLTP_HUMAN"
"815","sp|Q14008|CKAP5_HUMAN"
"816","sp|P35236|PTN7_HUMAN"
"817","sp|Q3ZCQ8|TIM50_HUMAN"
"818","sp|Q12792|TWF1_HUMAN"
"819","sp|P84103|SRSF3_HUMAN"
"820","sp|Q9UBR2|CATZ_HUMAN"
"821","sp|Q16658|FSCN1_HUMAN"
"822","sp|P28070|PSB4_HUMAN"
"823","sp|P62714|PP2AB_HUMAN"
"824","sp|P12004|PCNA_HUMAN"
"825","sp|O43252|PAPS1_HUMAN"
"826","sp|Q9Y2R0|COA3_HUMAN"
"827","sp|Q9NP72|RAB18_HUMAN"
"828","sp|P20618|PSB1_HUMAN"
"829","sp|P04083|ANXA1_HUMAN"
"830","sp|PPIA_HUMAN|;sp|F5H284|PAL4D_HUMAN"
"831","sp|Q5TFE4|NT5D1_HUMAN"
"832","sp|P57737|CORO7_HUMAN"
"833","sp|Q9UI30|TR112_HUMAN"
"834","sp|P53618|COPB_HUMAN"
"835","sp|Q14108|SCRB2_HUMAN"
"836","sp|P84090|ERH_HUMAN"
"837","sp|B0I1T2|MYO1G_HUMAN"
"838","sp|P17858|PFKAL_HUMAN"
"839","sp|Q13564|ULA1_HUMAN"
"840","sp|Q9Y2S7|PDIP2_HUMAN"
"841","sp|P30837|AL1B1_HUMAN"
"842","sp|Q9Y6G9|DC1L1_HUMAN"
"843","sp|P34897|GLYM_HUMAN"
"844","sp|Q29865|1C18_HUMAN"
"845","sp|Q9UH99|SUN2_HUMAN"
"846","sp|P61009|SPCS3_HUMAN"
"847","sp|P54886|P5CS_HUMAN"
"848","sp|O15127|SCAM2_HUMAN"
"849","sp|Q96GG9|DCNL1_HUMAN"
"850","sp|P62633|CNBP_HUMAN"
"851","sp|P54709|AT1B3_HUMAN"
"852","sp|Q9Y2X3|NOP58_HUMAN"
"853","sp|A0AVT1|UBA6_HUMAN"
"854","sp|Q14157|UBP2L_HUMAN"
"855","sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN;Int_P62937ups|PPIA_HUMAN_UPS"
"856","sp|O95817|BAG3_HUMAN"
"857","sp|P02549|SPTA1_HUMAN"
"858","sp|Q13185|CBX3_HUMAN"
"859","sp|P49585|PCY1A_HUMAN;sp|Q9Y5K3|PCY1B_HUMAN"
"860","sp|P11021|GRP78_HUMAN"
"861","sp|P46108|CRK_HUMAN"
"862","sp|Q14847|LASP1_HUMAN"
"863","sp|Q12824|SNF5_HUMAN"
"864","sp|Q7L014|DDX46_HUMAN"
"865","sp|O75340|PDCD6_HUMAN"
"866","sp|P43304|GPDM_HUMAN"
"867","sp|P56545|CTBP2_HUMAN"
"868","sp|Q9UBQ0|VPS29_HUMAN"
"869","sp|Q70J99|UN13D_HUMAN"
"870","sp|Q9P2R7|SUCB1_HUMAN"
"871","sp|Q9BUJ2|HNRL1_HUMAN"
"872","sp|P49916|DNLI3_HUMAN"
"873","sp|O00161|SNP23_HUMAN"
"874","sp|Q8NBX0|SCPDL_HUMAN"
"875","sp|P61956|SUMO2_HUMAN;sp|Q6EEV6|SUMO4_HUMAN"
"876","sp|O15254|ACOX3_HUMAN"
"877","sp|Q9BZF1|OSBL8_HUMAN"
"878","sp|Q96EY8|MMAB_HUMAN"
"879","sp|Q99714|HCD2_HUMAN"
"880","sp|Q6ZMI0|PPR21_HUMAN"
"881","sp|Q9NZN5|ARHGC_HUMAN"
"882","sp|Q13523|PRP4B_HUMAN"
"883","sp|P68104|EF1A1_HUMAN;sp|Q05639|EF1A2_HUMAN"
"884","sp|Q6L8Q7|PDE12_HUMAN"
"885","sp|O00116|ADAS_HUMAN"
"886","sp|O60711|LPXN_HUMAN"
"887","sp|Q96IX5|USMG5_HUMAN"
"888","sp|P11216|PYGB_HUMAN"
"889","sp|Q8NCW5|NNRE_HUMAN"
"890","sp|Q99460|PSMD1_HUMAN"
"891","sp|O75351|VPS4B_HUMAN"
"892","sp|P49748|ACADV_HUMAN"
"893","sp|O96000|NDUBA_HUMAN"
"894","sp|Q2NL82|TSR1_HUMAN"
"895","sp|Q8WXI9|P66B_HUMAN"
"896","sp|P30876|RPB2_HUMAN"
"897","sp|Q15428|SF3A2_HUMAN"
"898","sp|P61201|CSN2_HUMAN"
"899","sp|Q07866|KLC1_HUMAN"
"900","sp|P13667|PDIA4_HUMAN"
"901","sp|P67775|PP2AA_HUMAN"
"902","sp|P52594|AGFG1_HUMAN"
"903","sp|Q14240|IF4A2_HUMAN"
"904","sp|Q53EL6|PDCD4_HUMAN"
"905","sp|P14927|QCR7_HUMAN"
"906","sp|P19971|TYPH_HUMAN"
"907","sp|Q13423|NNTM_HUMAN"
"908","sp|Q9NRH3|TBG2_HUMAN"
"909","sp|Q96BM9|ARL8A_HUMAN"
"910","sp|P53621|COPA_HUMAN"
"911","sp|Q13488|VPP3_HUMAN"
"912","sp|P62750|RL23A_HUMAN"
"913","sp|P23786|CPT2_HUMAN"
"914","sp|Q13464|ROCK1_HUMAN"
"915","sp|O75380|NDUS6_HUMAN"
"916","sp|Q8WYP5|ELYS_HUMAN"
"917","sp|Q9UM54|MYO6_HUMAN"
"918","sp|Q5VZK9|LR16A_HUMAN"
"919","sp|P15289|ARSA_HUMAN"
"920","sp|Q96J02|ITCH_HUMAN"
"921","sp|P38919|IF4A3_HUMAN"
"922","sp|Q9NQ48|LZTL1_HUMAN"
"923","sp|Q8N122|RPTOR_HUMAN"
"924","sp|P51571|SSRD_HUMAN"
"925","sp|Q7L2H7|EIF3M_HUMAN"
"926","sp|CATA_HUMAN|;sp|P04040|CATA_HUMAN"
"927","sp|O75348|VATG1_HUMAN"
"928","sp|Q9H2U2|IPYR2_HUMAN"
"929","sp|Q92621|NU205_HUMAN"
"930","sp|Q02218|ODO1_HUMAN;sp|Q9ULD0|OGDHL_HUMAN"
"931","sp|Q15185|TEBP_HUMAN"
"932","sp|Q14498|RBM39_HUMAN"
"933","sp|Q9P2J5|SYLC_HUMAN"
"934","sp|Q02809|PLOD1_HUMAN"
"935","sp|Q08J23|NSUN2_HUMAN"
"936","sp|Q14376|GALE_HUMAN"
"937","sp|Q14161|GIT2_HUMAN"
"938","sp|Q9Y295|DRG1_HUMAN"
"939","sp|P30084|ECHM_HUMAN"
"940","sp|P11277|SPTB1_HUMAN"
"941","sp|Q9UBT2|SAE2_HUMAN"
"942","sp|Q15833|STXB2_HUMAN"
"943","sp|P11766|ADHX_HUMAN"
"944","sp|P25787|PSA2_HUMAN"
"945","sp|O60264|SMCA5_HUMAN"
"946","sp|Q6PCB7|S27A1_HUMAN"
"947","sp|P49773|HINT1_HUMAN"
"948","sp|P55209|NP1L1_HUMAN"
"949","sp|P36507|MP2K2_HUMAN"
"950","sp|O75475|PSIP1_HUMAN"
"951","sp|P50213|IDH3A_HUMAN"
"952","sp|Q99598|TSNAX_HUMAN"
"953","sp|Q15717|ELAV1_HUMAN;sp|Q12926|ELAV2_HUMAN;sp|P26378|ELAV4_HUMAN"
"954","sp|O14828|SCAM3_HUMAN"
"955","sp|O15305|PMM2_HUMAN"
"956","sp|Q14980|NUMA1_HUMAN;sp|Q8WZ42|TITIN_HUMAN"
"957","sp|Q03154|ACY1_HUMAN"
"958","sp|P30566|PUR8_HUMAN"
"959","sp|O00203|AP3B1_HUMAN"
"960","sp|Q14247|SRC8_HUMAN"
"961","sp|P13761|2B17_HUMAN;sp|Q30154|DRB5_HUMAN;sp|Q9TQE0|2B19_HUMAN;sp|P79483|DRB3_HUMAN"
"962","sp|Q9P0M6|H2AW_HUMAN"
"963","sp|Q8WUM4|PDC6I_HUMAN"
"964","sp|P29728|OAS2_HUMAN"
"965","sp|Q9NZB2|F120A_HUMAN"
"966","sp|Q9ULV4|COR1C_HUMAN;sp|Q6QEF8|CORO6_HUMAN"
"967","sp|Q9NSE4|SYIM_HUMAN"
"968","sp|P51159|RB27A_HUMAN"
"969","sp|P49721|PSB2_HUMAN"
"970","sp|Q9Y3B3|TMED7_HUMAN"
"971","sp|P06865|HEXA_HUMAN"
"972","sp|Q99873|ANM1_HUMAN"
"973","sp|P40616|ARL1_HUMAN"
"974","sp|P13747|HLAE_HUMAN"
"975","sp|Q8NBJ5|GT251_HUMAN"
"976","sp|B2MG_HUMAN|"
"977","sp|Q04637|IF4G1_HUMAN;sp|O43432|IF4G3_HUMAN"
"978","sp|Q9NR45|SIAS_HUMAN"
"979","sp|P20674|COX5A_HUMAN"
"980","sp|Q14160|SCRIB_HUMAN"
"981","sp|P04899|GNAI2_HUMAN"
"982","sp|Q96FV9|THOC1_HUMAN"
"983","sp|P07384|CAN1_HUMAN"
"984","sp|Q9Y696|CLIC4_HUMAN"
"985","sp|PRDX1_HUMAN|"
"986","sp|P08670|VIME_HUMAN;sp|P41219|PERI_HUMAN"
"987","sp|Q03519|TAP2_HUMAN"
"988","sp|Q8IX12|CCAR1_HUMAN"
"989","sp|Q9BXP2|S12A9_HUMAN"
"990","sp|Q14203|DCTN1_HUMAN"
"991","sp|Q12888|TP53B_HUMAN"
"992","sp|Q99798|ACON_HUMAN"
"993","sp|Q9NY27|PP4R2_HUMAN"
"994","sp|O94973|AP2A2_HUMAN"
"995","sp|Q9Y315|DEOC_HUMAN"
"996","sp|Q8N1F7|NUP93_HUMAN"
"997","sp|P57088|TMM33_HUMAN"
"998","sp|Q96P48|ARAP1_HUMAN"
"999","sp|P01591|IGJ_HUMAN"
"1000","sp|Q96D96|HVCN1_HUMAN"
"1001","sp|Q15208|STK38_HUMAN"
"1002","sp|Q9H4A3|WNK1_HUMAN"
"1003","sp|P16989|YBOX3_HUMAN;sp|Q9Y2T7|YBOX2_HUMAN"
"1004","sp|Q9UJS0|CMC2_HUMAN"
"1005","sp|Q9NVE7|PANK4_HUMAN"
"1006","sp|Q9UNZ2|NSF1C_HUMAN"
"1007","sp|Q6XQN6|PNCB_HUMAN"
"1008","sp|Q8NHP6|MSPD2_HUMAN"
"1009","sp|P08240|SRPR_HUMAN"
"1010","sp|Q8WUM0|NU133_HUMAN"
"1011","sp|Q9UEW8|STK39_HUMAN"
"1012","sp|O43776|SYNC_HUMAN"
"1013","sp|Q14764|MVP_HUMAN"
"1014","sp|Q6IAA8|LTOR1_HUMAN"
"1015","sp|P55263|ADK_HUMAN"
"1016","sp|Q14116|IL18_HUMAN"
"1017","sp|O00194|RB27B_HUMAN"
"1018","sp|P62826|RAN_HUMAN"
"1019","sp|O00186|STXB3_HUMAN"
"1020","sp|P30405|PPIF_HUMAN"
"1021","sp|O75347|TBCA_HUMAN"
"1022","sp|Q9BV40|VAMP8_HUMAN"
"1023","sp|O43175|SERA_HUMAN"
"1024","sp|P67936|TPM4_HUMAN"
"1025","sp|P19623|SPEE_HUMAN"
"1026","sp|P42704|LPPRC_HUMAN"
"1027","sp|P33176|KINH_HUMAN;sp|O60282|KIF5C_HUMAN;sp|Q12840|KIF5A_HUMAN"
"1028","sp|Q9NZ01|TECR_HUMAN"
"1029","sp|Q3YEC7|RABL6_HUMAN"
"1030","sp|P07858|CATB_HUMAN"
"1031","sp|P19404|NDUV2_HUMAN"
"1032","sp|P30085|KCY_HUMAN"
"1033","sp|P51570|GALK1_HUMAN"
"1034","sp|Q96FJ2|DYL2_HUMAN"
"1035","sp|Q09161|NCBP1_HUMAN"
"1036","sp|O75923|DYSF_HUMAN"
"1037","sp|P27694|RFA1_HUMAN"
"1038","sp|Q562R1|ACTBL_HUMAN;sp|P62736|ACTA_HUMAN"
"1039","sp|O43592|XPOT_HUMAN"
"1040","sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN"
"1041","sp|O00571|DDX3X_HUMAN;sp|Q9NQI0|DDX4_HUMAN"
"1042","sp|O14818|PSA7_HUMAN;sp|Q8TAA3|PSA7L_HUMAN"
"1043","sp|O60749|SNX2_HUMAN"
"1044","sp|Q99805|TM9S2_HUMAN"
"1045","sp|Q8NFV4|ABHDB_HUMAN"
"1046","sp|P08754|GNAI3_HUMAN;sp|P63092|GNAS2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P19087|GNAT2_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P09471|GNAO_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P11488|GNAT1_HUMAN"
"1047","sp|P04216|THY1_HUMAN"
