"","x"
"485","sp|P68366|TBA4A_HUMAN;sp|Q13748|TBA3C_HUMAN;sp|Q9NY65|TBA8_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|A6NHL2|TBAL3_HUMAN"
"486","sp|Q9HA64|KT3K_HUMAN"
"487","sp|Q9Y678|COPG1_HUMAN"
"488","sp|P35579|MYH9_HUMAN"
"489","sp|P15374|UCHL3_HUMAN"
"490","sp|P55265|DSRAD_HUMAN"
"491","sp|P53041|PPP5_HUMAN"
"492","sp|P04844|RPN2_HUMAN"
"493","sp|P31146|COR1A_HUMAN"
"494","sp|Q5T4S7|UBR4_HUMAN"
"495","sp|O00429|DNM1L_HUMAN"
"496","sp|P20073|ANXA7_HUMAN"
"497","sp|THIO_HUMAN|"
"498","sp|P23246|SFPQ_HUMAN"
"499","sp|Q9Y5Q8|TF3C5_HUMAN"
"500","sp|Q16543|CDC37_HUMAN"
"501","sp|P56211|ARP19_HUMAN;sp|O43768|ENSA_HUMAN"
"502","sp|P62424|RL7A_HUMAN"
"503","sp|P68363|TBA1B_HUMAN;sp|Q13748|TBA3C_HUMAN;sp|Q9NY65|TBA8_HUMAN;sp|Q6PEY2|TBA3E_HUMAN"
"504","sp|Q5VTE0|EF1A3_HUMAN;sp|Q05639|EF1A2_HUMAN"
"505","sp|Q71U36|TBA1A_HUMAN"
"506","sp|Q9H1B7|I2BPL_HUMAN;sp|Q7Z5L9|I2BP2_HUMAN"
"507","sp|O15347|HMGB3_HUMAN"
"508","sp|P48147|PPCE_HUMAN"
"509","sp|O43617|TPPC3_HUMAN"
"510","sp|P19838|NFKB1_HUMAN"
"511","sp|P69892|HBG2_HUMAN;sp|P68871|HBB_HUMAN;sp|P02100|HBE_HUMAN"
"512","sp|P61081|UBC12_HUMAN"
"513","sp|O14949|QCR8_HUMAN"
"514","sp|P69891|HBG1_HUMAN"
"515","sp|Q06265|EXOS9_HUMAN"
"516","sp|P26440|IVD_HUMAN"
"517","sp|P61923|COPZ1_HUMAN"
"518","sp|P31942|HNRH3_HUMAN"
"519","sp|Q9Y3L3|3BP1_HUMAN"
"520","sp|Q16537|2A5E_HUMAN;sp|Q13362|2A5G_HUMAN;sp|Q15173|2A5B_HUMAN"
"521","sp|P20645|MPRD_HUMAN"
"522","sp|Q15691|MARE1_HUMAN"
"523","sp|Q9UKX7|NUP50_HUMAN"
"524","sp|Q96N66|MBOA7_HUMAN"
"525","sp|P13796|PLSL_HUMAN"
"526","sp|Q63HN8|RN213_HUMAN"
"527","sp|O95400|CD2B2_HUMAN"
"528","sp|Q14978|NOLC1_HUMAN"
"529","sp|Q9NYL9|TMOD3_HUMAN"
"530","sp|P25942|TNR5_HUMAN"
